date,price,price_diff,sigma_price,ewma_short,ewma_long,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,buffer_contracts,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2006-01-03,5681.5,0.0,,5681.5,5681.5,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-04,5714.60009765625,33.10009765625,,5684.652390252976,5682.798043045344,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-05,5691.2001953125,-23.39990234375,,5685.275990734835,5683.127539212684,,,,,0,7.813827383159192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-06,5731.7998046875,40.599609375,,5689.706830158899,5685.036255505814,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-09,5731.5,-0.2998046875,,5693.687132048527,5686.858363133037,,,,,0,7.813827383159192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-10,5688.7998046875,-42.7001953125,,5693.221672299857,5686.934498095957,,,,,0,7.813827383159192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-11,5731.5,42.7001953125,,5696.867227318919,5688.682164837292,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-12,5735.2001953125,3.7001953125,,5700.5179861754505,5690.5064013265155,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-13,5711.0,-24.2001953125,,5701.51627320636,5691.310071862731,,,,,0,7.813827383159192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-16,5740.2001953125,29.2001953125,,5705.200456264088,5693.227331605859,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-17,5699.0,-41.2001953125,,5704.609936619889,5693.45371075857,,,,,0,7.813827383159192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-18,5663.7001953125,-35.2998046875,,5700.71377078109,5692.286906231274,,,,,0,7.813827383159192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-19,5693.2001953125,29.5,,5699.998192165033,5692.322721489361,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-20,5672.39990234375,-20.80029296875,,5697.369783610626,5691.541434464043,,,,,0,7.813827383159192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-23,5660.89990234375,-11.5,,5693.896461585209,5690.339805753443,,,,,0,7.813827383159192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-24,5633.7998046875,-27.10009765625,,5688.172970452094,5688.122550809681,,,,,0,7.813827383159192,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-25,5704.39990234375,70.60009765625,,5689.718392537014,5688.760878320822,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-26,5722.60009765625,18.2001953125,,5692.849983500751,5690.087906530054,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-27,5786.7998046875,64.19970703125,,5701.797585518536,5693.880529987209,,,,,0,7.813827383159192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
