date,drawdown
2005-12-21,0.0
2005-12-22,0.0
2005-12-23,0.0
2005-12-27,0.0
2005-12-28,0.0
2005-12-29,0.0
2005-12-30,0.0
2006-01-02,0.0
2006-01-03,0.0
2006-01-04,0.0
2006-01-05,0.0
2006-01-06,0.0
2006-01-09,0.0
2006-01-10,0.0
2006-01-11,0.0
2006-01-12,0.0
2006-01-13,0.0
2006-01-16,0.0
2006-01-17,0.0
2006-01-18,0.0
2006-01-19,0.0
2006-01-20,0.0
2006-01-23,0.0
2006-01-24,0.0
2006-01-25,0.0
2006-01-26,0.0
2006-01-27,0.0
2006-01-30,0.0
2006-01-31,0.0
2006-02-01,0.0
2006-02-02,0.0
2006-02-03,-7.082303626548825e-05
2006-02-06,0.0
2006-02-07,0.0
2006-02-08,-0.0002335522839614912
2006-02-09,0.0
2006-02-10,-0.001503210938009425
2006-02-13,0.0
2006-02-14,0.0
2006-02-15,0.0
2006-02-16,0.0
2006-02-17,0.0
2006-02-20,-0.00024154572339907254
2006-02-21,0.0
2006-02-22,0.0
2006-02-23,-0.0009001469742252466
2006-02-24,0.0
2006-02-27,0.0
2006-02-28,-0.019363188948221755
2006-03-01,-0.008480400107124808
2006-03-02,-0.02045004984465193
2006-03-03,-0.027928066627890713
2006-03-06,-0.024980795860823135
2006-03-07,-0.02692796314457191
2006-03-08,-0.03437051967716409
2006-03-09,-0.028848798068927373
2006-03-10,-0.021191971673872656
2006-03-13,-0.016257368188176247
2006-03-14,-0.013342363354018949
2006-03-15,-0.009247993878432448
2006-03-16,-0.009000042773066097
2006-03-17,-0.010758260432665367
2006-03-20,-0.008564583518617108
2006-03-21,-0.008725928916023973
2006-03-22,-0.003686939781899934
2006-03-23,-0.0022613488447122965
2006-03-24,0.0
2006-03-27,-0.009649307255825024
2006-03-28,-0.015386823413524486
2006-03-29,-0.008886020529980332
2006-03-30,0.0
2006-03-31,-0.0037322022498368357
2006-04-03,0.0
2006-04-04,0.0
2006-04-05,0.0
2006-04-06,-0.0004154235976414622
2006-04-07,-0.016883412361085703
2006-04-10,-0.008905343815601263
2006-04-11,-0.026315249939508845
2006-04-12,-0.02686861756732528
2006-04-13,-0.02442831323636996
2006-04-17,-0.02534079252366417
2006-04-18,-0.022387285622398
2006-04-19,-0.009920948435688914
2006-04-20,-0.0006093145452480409
2006-04-21,0.0
2006-04-24,-0.005634999725513845
2006-04-25,-0.011859235360335618
2006-04-26,-0.003955327149970822
2006-04-27,-0.006932816349676907
2006-04-28,-0.017434740784437297
2006-05-01,-0.022894418510135295
2006-05-02,-0.007800244634594944
2006-05-03,-0.026909589977525017
2006-05-04,-0.011652983776660353
2006-05-05,0.0
2006-05-08,0.0
2006-05-09,0.0
2006-05-10,-0.0053483617921381565
2006-05-11,-0.03154513254418079
2006-05-12,-0.06271471014109609
2006-05-15,-0.06660916928621263
2006-05-16,-0.06884497335057937
2006-05-17,-0.10119716243014698
2006-05-18,-0.10489779186459203
2006-05-19,-0.10266898436453364
2006-05-22,-0.1089693617236972
2006-05-23,-0.10713661492136473
2006-05-24,-0.10795637114078172
2006-05-25,-0.1045315699122421
2006-05-26,-0.10321806753669172
2006-05-29,-0.1036198993663785
2006-05-30,-0.10527849329532868
2006-05-31,-0.1061531415482212
2006-06-01,-0.10706973152546817
2006-06-02,-0.10693743485252982
2006-06-05,-0.10507214638651352
2006-06-06,-0.1035013028322529
2006-06-07,-0.1033152630266988
2006-06-08,-0.09972613848425971
2006-06-09,-0.1008800758248175
2006-06-12,-0.09648372239324687
2006-06-13,-0.08957660191694794
2006-06-14,-0.09189357606328674
2006-06-15,-0.10474349549683781
2006-06-16,-0.10201709891157851
2006-06-19,-0.10234900932846802
2006-06-20,-0.10493454545489622
2006-06-21,-0.10882916739900095
2006-06-22,-0.10838556633605789
2006-06-23,-0.10792062460519058
2006-06-26,-0.10922751683532028
2006-06-27,-0.10339080241247323
2006-06-28,-0.1055323130651491
2006-06-29,-0.12044156116238514
2006-06-30,-0.12336871530694904
2006-07-03,-0.12728957875605929
2006-07-04,-0.1278814715455766
2006-07-05,-0.12195557953565961
2006-07-06,-0.1252348611392008
2006-07-07,-0.12273056920584235
2006-07-10,-0.1237596650292585
2006-07-11,-0.12278346625315484
2006-07-12,-0.12003872922015268
2006-07-13,-0.11352917906449711
2006-07-14,-0.10958095264657652
2006-07-17,-0.1090523960207277
2006-07-18,-0.10915829820461675
2006-07-19,-0.11908017541117077
2006-07-20,-0.11671235555800619
2006-07-21,-0.11236724866082526
2006-07-24,-0.12126760537796244
2006-07-25,-0.1228585867848313
2006-07-26,-0.1231619078333328
2006-07-27,-0.12375645841971139
2006-07-28,-0.12854580455103404
2006-07-31,-0.12790536761259697
2006-08-01,-0.1257874504789558
2006-08-02,-0.12803098251175926
2006-08-03,-0.12810127141267313
2006-08-04,-0.12792923395611688
2006-08-07,-0.12729516762575566
2006-08-08,-0.12638220070077932
2006-08-09,-0.12497881147868095
2006-08-10,-0.12667850746747444
2006-08-11,-0.12599080477726632
2006-08-14,-0.1254340051938303
2006-08-15,-0.1268715276823853
2006-08-16,-0.12785108222750274
2006-08-17,-0.1278406715644418
2006-08-18,-0.12849192340674687
2006-08-21,-0.12909774356106496
