instrument,symbol,strategy,idm
SP500|ewmac,SP500,ewmac,1.481876060120996
SP500|trend_breakout,SP500,trend_breakout,1.481876060120996
DAX|ewmac,DAX,ewmac,1.481876060120996
DAX|trend_breakout,DAX,trend_breakout,1.481876060120996
FTSE|ewmac,FTSE,ewmac,1.481876060120996
FTSE|trend_breakout,FTSE,trend_breakout,1.481876060120996
NASDAQ|ewmac,NASDAQ,ewmac,1.481876060120996
NASDAQ|trend_breakout,NASDAQ,trend_breakout,1.481876060120996
DJ30|ewmac,DJ30,ewmac,1.481876060120996
DJ30|trend_breakout,DJ30,trend_breakout,1.481876060120996
NG|ewmac,NG,ewmac,1.481876060120996
NG|trend_breakout,NG,trend_breakout,1.481876060120996
