date,price,price_diff,sigma_price,ewma_short,ewma_long,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2006-01-03,1268.800048828125,0.0,,1268.800048828125,1268.800048828125,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-04,1273.4599609375,4.659912109375,,1269.2438499813989,1268.9151083863812,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-05,1273.47998046875,0.02001953125,,1269.6472909801942,1269.027821277304,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-06,1285.449951171875,11.969970703125,,1271.1523062365447,1269.4333059660587,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-09,1290.1500244140625,4.7000732421875,,1272.9616127296417,1269.944829878355,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-10,1289.68994140625,-0.4600830078125,,1274.5547868893186,1270.4323634963278,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-11,1294.1800537109375,4.4901123046875,,1276.4238599199489,1271.0187262176762,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-12,1286.06005859375,-8.1199951171875,,1277.3415931269776,1271.3901171405423,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-13,1287.6099853515625,1.5499267578125,,1278.3195352436048,1271.790607713654,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-17,1282.9300537109375,-4.679931640625,,1278.7586322404936,1272.0656557629698,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-18,1277.9300537109375,-5.0,,1278.6797199995835,1272.2104557123023,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-19,1285.0400390625,7.1099853515625,,1279.2854646722424,1272.5272355481097,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-20,1261.489990234375,-23.550048828125,,1277.5906575829217,1272.254710972462,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-23,1263.8199462890625,2.3299560546875,,1276.2791612692208,1272.04644517781,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-24,1266.8599853515625,3.0400390625,,1275.3820968961104,1271.9183844413594,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-25,1264.6800537109375,-2.179931640625,,1274.3628546879986,1271.7396602257934,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-01-26,1273.8299560546875,9.14990234375,,1274.3121024372072,1271.791272468482,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-27,1283.719970703125,9.8900146484375,,1275.208089891104,1272.0858082273621,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-30,1285.18994140625,1.469970703125,,1276.158742416356,1272.4093670712853,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-01-31,1280.0799560546875,-5.1099853515625,,1276.5321913342923,1272.5987643301346,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-02-01,1282.4599609375,2.3800048828125,,1277.096740820312,1272.8422506661188,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-02-02,1270.8399658203125,-11.6199951171875,,1276.5008574869787,1272.7928115341235,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-02-03,1264.030029296875,-6.8099365234375,,1275.3131595641116,1272.5764465406112,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-02-06,1265.02001953125,0.989990234375,,1274.332860513363,1272.3898680959355,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-02-07,1254.780029296875,-10.239990234375,,1272.4706861117927,1271.9550572613907,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-02-08,1265.6500244140625,10.8699951171875,,1271.8210992834374,1271.799377438,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-02-09,1263.780029296875,-1.8699951171875,,1271.055283094241,1271.6013688419227,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-02-10,1266.989990234375,3.2099609375,,1270.6681123456824,1271.4875076417363,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-02-13,1262.8599853515625,-4.1300048828125,,1269.9244812033853,1271.2744824000035,,,,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,1,OOS
2006-02-14,1275.530029296875,12.6700439453125,,1270.458342926575,1271.3795576320251,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-02-15,1280.0,4.469970703125,,1271.367072171663,1271.592408060864,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-02-16,1289.3800048828125,9.3800048828125,7.734001131924078,1273.0825895727248,1272.0316079823936,0.13589105721656528,0.45596135598235615,0.45596135598235615,0.4314609217567812,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,1,OOS
2006-02-17,1287.239990234375,-2.1400146484375,7.74897936040364,1274.430913445263,1272.4071235935535,0.2611685691216194,0.8763106075986064,0.8763106075986064,0.8290018563012975,1,0.0,-0.0,1.0,1.0,0.0,1.287239990234375,-2.287239990234375,24997.712760009766,9.148959960934008e-05,1,OOS
2006-02-21,1283.030029296875,-4.2099609375,7.756828456172682,1275.2498768597022,1272.6694175615366,0.3326693780512983,1.11622047702773,1.11622047702773,1.0584003617000004,1,1.0,-21.0498046875,0.0,0.0,0.0,0.0,-21.0498046875,24976.662955322266,0.0009334817871093401,1,OOS
2006-02-22,1292.6700439453125,9.6400146484375,7.930145607516735,1276.908940391665,1273.1632601882966,0.47233435409030233,1.5848446320116731,1.5848446320116731,1.4594366855914036,1,1.0,48.2000732421875,0.0,0.0,0.0,0.0,48.2000732421875,25024.863028564454,0.0,1,OOS
2006-02-23,1287.7900390625,-4.8800048828125,7.707086586015647,1277.945235503173,1273.5244152222276,0.5736045951484381,1.9246412115609772,1.9246412115609772,1.830872978655242,2,1.0,-24.4000244140625,1.0,1.0,0.0,1.2877900390625001,-26.687814453125,24998.17521411133,0.001066451969094216,1,OOS
2006-02-24,1289.4300537109375,1.6400146484375,7.666703415739688,1279.0390277134363,1273.9171470367637,0.6680681903199011,2.241599147039443,2.241599147039443,2.140674359943541,2,2.0,16.400146484375,0.0,0.0,0.0,0.0,16.400146484375,25014.575360595703,0.00041109787322343483,1,OOS
2006-02-27,1294.1199951171875,4.68994140625,7.711146851898135,1280.4753103233174,1274.4159827918359,0.7857881126968881,2.6365900797216972,2.6365900797216972,2.4947256497919907,2,2.0,46.8994140625,0.0,0.0,0.0,0.0,46.8994140625,25061.474774658203,0.0,1,OOS
2006-02-28,1280.6600341796875,-13.4599609375,8.030638658851812,1280.4929030715432,1274.5701569001778,0.7375186984458557,2.4746295502712585,2.4746295502712585,2.273875843602604,2,2.0,-134.599609375,0.0,0.0,0.0,0.0,-134.599609375,24926.875165283203,0.005370777681092621,1,OOS
