date,price,price_diff,sigma_price,ann_std,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2006-01-03,5681.5,0.0,,,,,,0.0,0,1.1056383159038006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-04,5714.60009765625,33.10009765625,,,,,,0.0,0,1.1056383159038006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-05,5691.2001953125,-23.39990234375,,,,,,0.0,0,1.1056383159038006,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-06,5731.7998046875,40.599609375,,,,,,0.0,0,1.1056383159038006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-09,5731.5,-0.2998046875,,,,,,0.0,0,1.1056383159038006,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-10,5688.7998046875,-42.7001953125,,,,,,0.0,0,1.1056383159038006,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-11,5731.5,42.7001953125,,,,,,0.0,0,1.1056383159038006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-12,5735.2001953125,3.7001953125,,,,,,0.0,0,1.1056383159038006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-13,5711.0,-24.2001953125,,,,,,0.0,0,1.1056383159038006,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-16,5740.2001953125,29.2001953125,,,,,,0.0,0,1.1056383159038006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-17,5699.0,-41.2001953125,,,,,,0.0,0,1.1056383159038006,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-18,5663.7001953125,-35.2998046875,,,,,,0.0,0,1.1056383159038006,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
