bundle,span_short,span_long,vol_window,cap,idm,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,20,80,32,20,1.0,440.5096435546875,0.5277201414202378,0.0,1.1312242762738371,100000.0,100440.50964355469
2,20,80,32,20,1.0,110.300048828125,0.1538136524647217,0.0,1.0310172331425764,100000.0,100110.30004882812
3,20,80,32,20,1.0,98.09985351562489,0.1269450916960574,0.0,1.027504973385974,100000.0,100098.09985351562
4,20,80,32,20,1.0,353.5699462890625,0.4721420575083056,0.0,1.115288427349617,100000.0,100353.56994628906
5,20,50,32,20,1.0,28.109375,0.036309985764524065,0.0,1.0077631976585264,100000.0,100028.109375
6,20,80,32,20,1.0,-441.2806396484375,-0.5612138358191989,0.0,0.8859330642909757,100000.0,99558.71936035156
7,16,64,32,20,1.0,-641.26025390625,-0.9356087189285551,0.0,0.8128231374541002,100000.0,99358.73974609375
8,20,80,32,20,1.0,911.520751953125,1.1034070041918047,0.0,1.3050924007122984,100000.0,100911.52075195312
9,20,80,32,20,1.0,-662.4697265625,-0.7751134422473306,0.0,0.8086591609529514,100000.0,99337.5302734375
10,20,80,32,20,1.0,160.41015625,0.1813738779686295,0.0,1.0539492910821422,100000.0,100160.41015625
