bundle,span_short,span_long,vol_window,cap,idm,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,20,80,32,20,1.0,584.510009765625,0.7187819935444705,0.0,1.1867717712118686,100000.0,100584.51000976562
2,16,80,32,20,1.0,92.989990234375,0.13036336912113056,0.0,1.0262339051840283,100000.0,100092.98999023438
3,16,80,32,20,1.0,34.79937744140625,0.04424019248711179,0.0,1.0097382518895637,100000.0,100034.7993774414
4,20,80,32,20,1.0,298.1201171875,0.4001069139463991,0.0,1.0975042512883622,100000.0,100298.1201171875
5,10,80,32,20,1.0,-62.1002197265625,-0.08125011451642904,0.0,0.9827285399753879,100000.0,99937.89978027344
6,16,80,32,20,1.0,-499.8804931640625,-0.6399424146445462,0.0,0.8717844599805189,100000.0,99500.11950683594
7,16,80,32,20,1.0,-825.619873046875,-1.1670646201811068,0.0,0.7656306109491179,100000.0,99174.38012695312
8,20,80,32,20,1.0,938.71044921875,1.1379433723248644,0.0,1.3094543314864329,100000.0,100938.71044921875
9,16,64,32,20,1.0,-586.280029296875,-0.685823855141798,0.0,0.8310485683751514,100000.0,99413.71997070312
10,20,80,32,20,1.0,237.100830078125,0.2687648641915981,0.0,1.0833925253836005,100000.0,100237.10083007812
