bundle,span_short,span_long,vol_window,cap,idm,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,20,50,32,20,1.0,877.04052734375,1.011924789632051,0.0,1.2947391998529734,100000.0,100877.04052734375
2,16,50,32,20,1.0,-265.22021484375,-0.581339249137166,0.0,0.6686074179283685,100000.0,99734.77978515625
3,20,64,32,20,1.0,114.69970703125,0.13843005603657627,0.0,1.0477421919601746,100000.0,100114.69970703125
4,16,80,32,20,1.0,342.080078125,0.4661676704567467,0.0,1.1649340951060778,100000.0,100342.080078125
5,10,64,32,20,1.0,-31.2890625,-0.039503588421480836,0.0,0.9851701406985216,100000.0,99968.7109375
6,16,64,32,20,1.0,-231.3310546875,-0.33740136656760483,0.0,0.8737212627287334,100000.0,99768.6689453125
7,16,64,32,20,1.0,757.359375,1.2986133883704334,0.0,4.468857767778468,100000.0,100757.359375
8,16,64,32,20,1.0,447.6201171875,0.48756826031288397,0.0,1.25997339935285,100000.0,100447.6201171875
9,20,64,32,20,1.0,-230.76953125,-0.4541948863393883,0.0,0.6880480096737486,100000.0,99769.23046875
10,16,80,32,20,1.0,14.6298828125,0.030437709355915152,0.0,1.024486320121737,100000.0,100014.6298828125
