bundle,span_short,span_long,vol_window,forecast_scale,cap,tau,idm,multiplier,fx,capital,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,20,64,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,7475.2001953125,1.5578572974501228,0.0,1.4456061072435105,50000.0,57475.2001953125
2,20,64,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,0.0,0.0,0.0,inf,50000.0,50000.0
3,16,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,602.548828125,0.3081555097026344,0.0,1.229695370056697,50000.0,50602.548828125
4,16,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-226.44775390625,-0.09066307120933079,0.0,0.9530502910028539,50000.0,49773.55224609375
5,16,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-1494.85107421875,-0.4841532066308611,0.0,0.8023232764131365,50000.0,48505.14892578125
6,10,64,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-3613.701171875,-0.8034415031510002,0.0,0.7382881649979172,50000.0,46386.298828125
7,10,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,3863.30078125,1.3249358337531776,0.0,4.649262955924949,50000.0,53863.30078125
8,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,48.662109375,0.012767564047652037,0.0,1.0058113735215721,50000.0,50048.662109375
9,20,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,0.0,0.0,0.0,inf,50000.0,50000.0
10,20,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-1358.701171875,-0.7841240546527137,0.0,0.1571087578151505,50000.0,48641.298828125
