bundle,span_short,span_long,vol_window,cap,tau,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,20,80,32,20,0.2,1.0,5.0,1.0,22327.352905273438,0.5313843948219762,0.0,1.1333500588050773,100000.0,122327.35290527344
2,20,80,32,20,0.2,1.0,5.0,1.0,807.3483276367151,0.021844554204578506,0.0,1.0043521082907185,100000.0,100807.34832763672
3,20,80,32,20,0.2,1.0,5.0,1.0,4229.638366699213,0.10810564303326183,0.0,1.0233422426078784,100000.0,104229.63836669922
4,20,80,32,20,0.2,1.0,5.0,1.0,16845.339965820312,0.4600242802120812,0.0,1.1112912127604417,100000.0,116845.33996582031
5,20,80,32,20,0.2,1.0,5.0,1.0,-995.079345703125,-0.025328931019837627,0.0,0.9946080418940915,100000.0,99004.92065429688
6,16,80,32,20,0.2,1.0,5.0,1.0,-24326.97265625,-0.6303955651327826,0.0,0.8741819447923711,100000.0,75673.02734375
7,20,80,32,20,0.2,1.0,5.0,1.0,-41621.600341796875,-1.17876674577015,0.0,0.7743162113805708,100000.0,58378.399658203125
8,20,80,32,20,0.2,1.0,5.0,1.0,42775.73974609375,1.0569246074567271,0.0,1.2846522307609596,100000.0,142775.73974609375
9,20,80,32,20,0.2,1.0,5.0,1.0,-23400.14404296875,-0.5325817292493108,0.0,0.8692311812643997,100000.0,76599.85595703125
10,20,80,32,20,0.2,1.0,5.0,1.0,28890.06591796875,0.6700830744476494,0.0,1.1743230531967839,100000.0,128890.06591796875
