bundle,span_short,span_long,vol_window,forecast_scale,cap,tau,idm,multiplier,fx,capital,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,1855.10009765625,0.3711781435082576,0.0,1.0854152184411232,50000.0,51855.10009765625
2,20,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,743.5009765625,0.22933527237152285,0.0,1.0464241390644875,50000.0,50743.5009765625
3,20,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,1435.6494140624986,0.31569255020176223,0.0,1.0659251421346285,50000.0,51435.6494140625
4,16,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,1523.397216796875,0.3728023739587126,0.0,1.0830445081424198,50000.0,51523.397216796875
5,16,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,2868.99658203125,0.5944815097890509,0.0,1.123682293680785,50000.0,52868.99658203125
6,16,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-1614.2022705078125,-0.34597341134417997,0.0,0.9332583018584473,50000.0,48385.79772949219
7,16,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-3200.953369140625,-1.2586696586133295,0.0,0.7566868816660738,50000.0,46799.046630859375
8,20,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,7506.6015625,1.3955598985405524,0.0,1.3395984323069055,50000.0,57506.6015625
9,16,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-3793.89892578125,-0.8750683681330512,0.0,0.7904102479582282,50000.0,46206.10107421875
10,20,80,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-366.346435546875,-0.07838980587635087,0.0,0.9787342367373039,50000.0,49633.653564453125
