bundle,horizon,cap,vol_window,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,75,20,32,-5.2900390625,-0.005875353773505069,0.0,0.9978643110086745,100000.0,99994.7099609375
2,40,20,32,0.0,0.0,0.0,inf,100000.0,100000.0
3,75,20,32,-27.4296875,-0.07750050443666685,0.0,0.9190745782733336,100000.0,99972.5703125
4,40,20,32,484.5302734375,0.6078440560368031,0.0,1.2989729112497703,100000.0,100484.5302734375
5,40,20,32,53.2705078125,0.07017162188345971,0.0,1.0421807907245408,100000.0,100053.2705078125
6,25,20,32,-1219.697265625,-1.3910212650916536,0.0,0.531371474883309,100000.0,98780.302734375
7,25,20,32,-123.8203125,-0.357007486592576,0.0,0.6966451816654943,100000.0,99876.1796875
8,40,20,32,-105.0,-0.3308395360627254,0.0,0.6608180493252324,100000.0,99895.0
9,25,20,32,0.0,0.0,0.0,inf,100000.0,100000.0
10,50,20,32,0.0,0.0,0.0,inf,100000.0,100000.0
