period_label,start,end,bars,cum_return,vol,max_drawdown,ret_over_vol
2005-12,2005-12-22,2005-12-30,6,0.0,0.0,0.0,
2006-01,2006-01-02,2006-01-31,22,0.0,0.0,0.0,
2006-02,2006-02-01,2006-02-28,20,-0.0031864849208819157,0.005178869307349216,-0.020516143631973627,-0.6152858339869761
2006-03,2006-03-01,2006-03-31,23,0.024037633849603335,0.007918251168804562,-0.026773766658518716,3.035725103581471
2006-04,2006-04-03,2006-04-28,19,0.017992998317406306,0.011472811655905846,-0.03335352273173331,1.5683163689124164
2006-05,2006-05-01,2006-05-31,23,-0.06588845625940687,0.012255724069995002,-0.10113839950148995,-5.376137377367843
2006-06,2006-06-01,2006-06-30,22,-0.014915942815257988,0.010294971274999816,-0.051288085063975974,-1.4488571572297324
2006-07,2006-07-03,2006-07-31,21,0.003757106131966559,0.005735711795405852,-0.02066252870440688,0.6550374680568675
2006-08,2006-08-01,2006-08-31,23,-0.046432669034982,0.006173625187839455,-0.05061080434316578,-7.521135090358757
2006-09,2006-09-01,2006-09-29,21,-0.5354976957996802,0.10566781187561022,-0.5447468652771819,-5.06774661360506
2006-10,2006-10-02,2006-10-31,22,0.24686496874575736,0.017759681180766346,-0.028558964180014135,13.900304078268647
2006-11,2006-11-01,2006-11-30,22,0.0455191017477059,0.026886187903503413,-0.10444992302192135,1.6930292204710256
2006-12,2006-12-01,2006-12-29,20,0.16036935962989207,0.014944305410035856,-0.01738227948547011,10.731135053101628
2007-01,2007-01-02,2007-01-31,22,0.06857564664445381,0.01547046892545564,-0.0379811217856566,4.432680546070397
2007-02,2007-02-01,2007-02-28,20,-0.07101067852635867,0.025412768182560382,-0.12271247167945931,-2.794291358431784
2007-03,2007-03-01,2007-03-30,22,0.009981157700395649,0.0043770862519956835,-0.016223207713607857,2.2803200864147586
2007-04,2007-04-02,2007-04-30,20,0.026233191520317334,0.006141235424448329,-0.017497557087293836,4.271647267564878
2007-05,2007-05-01,2007-05-31,22,0.1396659635546511,0.019004660639874865,-0.05086852959648569,7.349037491446137
