bundle,horizon,cap,vol_window,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,25,20,32,630.93994140625,0.697466990252941,0.0,1.1769698737675662,100000.0,100630.93994140625
2,25,20,32,-369.1298828125,-0.49871471627326175,0.0,0.8271848832663922,100000.0,99630.8701171875
3,75,20,32,0.0,0.0,0.0,inf,100000.0,100000.0
4,80,20,32,204.330078125,0.24957525025889726,0.0,1.0831383687183513,100000.0,100204.330078125
5,25,20,32,185.33984375,0.2565029871135828,0.0,1.1067625828052996,100000.0,100185.33984375
6,25,20,32,181.0595703125,0.3051715545320782,0.0,1.1177363728903753,100000.0,100181.0595703125
7,20,20,32,757.359375,1.2986133883704334,0.0,4.468857767778468,100000.0,100757.359375
8,40,20,32,72.169921875,0.11046251686173966,0.0,1.0755934023782125,100000.0,100072.169921875
9,20,20,32,-422.0595703125,-0.9294597089090868,0.0,0.4156883952653602,100000.0,99577.9404296875
10,80,20,32,-17.2802734375,-0.0282295608363645,0.0,0.9822316701025131,100000.0,99982.7197265625
