date,equity,drawdown,delta_pos,pnl,sample,bundle
1955-10-24,100000.0,0.0,0.0,0.0,OOS,1
1955-10-25,100000.0,0.0,0.0,0.0,OOS,1
1955-10-26,100000.0,0.0,0.0,0.0,OOS,1
1955-10-27,100000.0,0.0,0.0,0.0,OOS,1
1955-10-28,100000.0,0.0,0.0,0.0,OOS,1
1955-10-31,100000.0,0.0,0.0,0.0,OOS,1
1955-11-01,100000.0,0.0,0.0,0.0,OOS,1
1955-11-02,100000.0,0.0,0.0,0.0,OOS,1
1955-11-03,100000.0,0.0,0.0,0.0,OOS,1
1955-11-04,100000.0,0.0,0.0,0.0,OOS,1
1955-11-07,100000.0,0.0,0.0,0.0,OOS,1
1955-11-09,100000.0,0.0,0.0,0.0,OOS,1
1955-11-10,100000.0,0.0,0.0,0.0,OOS,1
1955-11-11,100000.0,0.0,0.0,0.0,OOS,1
1955-11-14,100000.0,0.0,0.0,0.0,OOS,1
1955-11-15,100000.0,0.0,0.0,0.0,OOS,1
1955-11-16,100000.0,0.0,0.0,0.0,OOS,1
1955-11-17,100000.0,0.0,0.0,0.0,OOS,1
1955-11-18,100000.0,0.0,0.0,0.0,OOS,1
1955-11-21,100000.0,0.0,0.0,0.0,OOS,1
1955-11-22,100000.0,0.0,0.0,0.0,OOS,1
1955-11-23,100000.0,0.0,0.0,0.0,OOS,1
1955-11-25,100000.0,0.0,0.0,0.0,OOS,1
1955-11-28,100000.0,0.0,0.0,0.0,OOS,1
1955-11-29,100000.0,0.0,0.0,0.0,OOS,1
1955-11-30,100000.0,0.0,0.0,0.0,OOS,1
1955-12-01,100000.0,0.0,0.0,0.0,OOS,1
1955-12-02,100000.0,0.0,0.0,0.0,OOS,1
1955-12-05,100000.0,0.0,0.0,0.0,OOS,1
1955-12-06,100000.0,0.0,0.0,0.0,OOS,1
1955-12-07,100000.0,0.0,0.0,0.0,OOS,1
1955-12-08,99744.81992007446,0.002551800799255434,1.0,-255.18007992553711,OOS,1
1955-12-09,99828.12776776122,0.0017187223223877662,1.0,83.30784768676757,OOS,1
1955-12-12,99231.20870632934,0.007687912936706562,1.0,-596.9190614318848,OOS,1
1955-12-13,99264.3662134819,0.0073563378651809765,1.0,33.15750715255737,OOS,1
1955-12-14,98801.0481004982,0.011989518995018007,1.0,-463.3181129837036,OOS,1
1955-12-15,98775.27389572907,0.012247261042709288,1.0,-25.77420476913452,OOS,1
1955-12-16,98829.22718037796,0.011707728196220414,1.0,53.95328464889526,OOS,1
1955-12-19,98719.8864032631,0.012801135967369046,1.0,-109.34077711486816,OOS,1
1955-12-20,98648.90230349732,0.013510976965026785,1.0,-70.98409976577759,OOS,1
1955-12-21,99311.43928268051,0.006885607173194876,1.0,662.536979183197,OOS,1
1955-12-22,98959.0757585411,0.010409242414588953,1.0,-352.3635241394043,OOS,1
1955-12-23,99034.67588671493,0.009653241132850671,1.0,75.60012817382812,OOS,1
1955-12-27,98795.29603210068,0.01204703967899317,1.0,-239.37985461425782,OOS,1
1955-12-28,98643.35380552291,0.013566461944770854,1.0,-151.9422265777588,OOS,1
1955-12-29,98716.2200950203,0.012837799049797032,1.0,72.86628949737549,OOS,1
1955-12-30,98886.23919773483,0.011137608022651693,1.0,170.01910271453858,OOS,1
1956-01-03,98491.36215937042,0.015086378406295843,1.0,-394.8770383644104,OOS,1
1956-01-04,98302.26732874298,0.016977326712570212,1.0,-189.0948306274414,OOS,1
1956-01-05,98239.06863363647,0.017609313663635256,1.0,-63.19869510650635,OOS,1
1956-01-06,98418.52071348572,0.01581479286514281,1.0,179.45207984924318,OOS,1
1956-01-09,97770.92772885514,0.022290722711448614,1.0,-647.5929846305847,OOS,1
1956-01-10,97488.30985986328,0.025116901401367214,1.0,-282.6178689918518,OOS,1
1956-01-11,97584.35666342927,0.024156433365707344,1.0,96.046803565979,OOS,1
1956-01-12,97733.0087041397,0.022669912958602944,1.0,148.65204071044923,OOS,1
1956-01-13,97698.42932834625,0.023015706716537535,1.0,-34.57937579345703,OOS,1
1956-01-16,97478.39384781646,0.025216061521835365,1.0,-220.03548052978516,OOS,1
1956-01-17,97541.59402063751,0.02458405979362491,1.0,63.20017282104492,OOS,1
1956-01-18,97472.3867666092,0.025276132333908026,1.0,-69.2072540283203,OOS,1
1956-01-19,97400.41289649201,0.025995871035079908,1.0,-71.9738701171875,OOS,1
1956-01-20,97385.35697644806,0.026146430235519366,1.0,-15.055920043945312,OOS,1
1956-01-23,97376.72759375763,0.02623272406242366,1.0,-8.629382690429688,OOS,1
1956-01-24,97167.78359127807,0.02832216408721928,1.0,-208.94400247955323,OOS,1
1956-01-25,97134.92138723755,0.02865078612762445,1.0,-32.862204040527345,OOS,1
1956-01-26,97231.08766310119,0.027689123368988076,1.0,96.16627586364746,OOS,1
1956-01-27,97266.03769388581,0.0273396230611419,1.0,34.95003078460693,OOS,1
1956-01-30,97182.65637754058,0.02817343622459419,1.0,-83.38131634521484,OOS,1
1956-01-31,96998.30598538971,0.03001694014610286,1.0,-184.35039215087892,OOS,1
1956-02-01,96876.59003232574,0.031234099676742625,1.0,-121.71595306396485,OOS,1
1956-02-02,96776.28143808746,0.03223718561912538,1.0,-100.30859423828124,OOS,1
