bundle,span_short,span_long,vol_window,cap,tau,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,16,80,32,20,0.2,1.0,5.0,1.0,66720.35400390625,1.3280101288823334,0.0,1.3066365204853416,100000.0,166720.35400390625
2,20,80,32,20,0.2,1.0,5.0,1.0,-2353.84765625,-0.06774865400090871,0.0,0.9856320045646823,100000.0,97646.15234375
3,10,80,32,20,0.2,1.0,5.0,1.0,-8542.388916015625,-0.2098438042975544,0.0,0.9589985443565567,100000.0,91457.61108398438
4,10,80,32,20,0.2,1.0,5.0,1.0,6393.44482421875,0.15080849610813085,0.0,1.033072833356569,100000.0,106393.44482421875
5,10,80,32,20,0.2,1.0,5.0,1.0,3413.69873046875,0.08004447614416513,0.0,1.0158797564464468,100000.0,103413.69873046875
6,10,80,32,20,0.2,1.0,5.0,1.0,-6589.9072265625,-0.14610653026241954,0.0,0.9680977532534376,100000.0,93410.0927734375
7,10,80,32,20,0.2,1.0,5.0,1.0,-5247.099609375,-0.14099531694756584,0.0,0.9695799043920926,100000.0,94752.900390625
8,10,64,32,20,0.2,1.0,5.0,1.0,34610.6201171875,0.7723534006720023,0.0,1.1853181003570172,100000.0,134610.6201171875
9,20,50,32,20,0.2,1.0,5.0,1.0,-4453.4228515625,-0.21051031024111805,0.0,0.9563930119120395,100000.0,95546.5771484375
10,20,50,32,20,0.2,1.0,5.0,1.0,-9403.0615234375,-0.35749732897887954,0.0,0.9138259348742768,100000.0,90596.9384765625
