period_label,start,end,bars,cum_return,vol,max_drawdown,ret_over_vol
2019-05,2019-05-01,2019-05-31,23,-0.20250331139390576,0.0333515579093691,-0.21306436437900944,-6.071779673507206
2016-06,2016-06-01,2016-06-30,22,-0.17869312489744893,0.03658041934952912,-0.2072816408693836,-4.884939212697931
2007-11,2007-11-01,2007-11-30,22,-0.16703189520083517,0.020095724956242525,-0.12196470492191691,-8.311812366288805
2018-10,2018-10-01,2018-10-31,23,-0.14552277484140985,0.026564389013200868,-0.17631989277524862,-5.478114884144107
2008-06,2008-06-02,2008-06-30,21,-0.13785957991590425,0.022511390544718964,-0.12276477358428417,-6.12399219151059
