,cagr,annual_vol,sharpe,sortino,max_drawdown,avg_drawdown,avg_dd_duration,pf,expectancy,win_rate,std_daily,ret_5pct,ret_95pct
SP500,0.006102036200016814,0.057685036443657134,0.13441236940085846,0.13495468657963225,0.10284369329652372,0.029385490218149287,26.875968992248062,1.0596642831652383,24.541365378904135,3.29004329004329,0.0036338157333241556,-0.005358064109892424,0.00574644985301187
DAX,0.005196921570967961,0.03898299471010654,0.1524734314947311,0.07113200321725953,0.11175643687608085,0.03577641511234592,28.0625,1.3436049845209959,471.1955781565021,8.387096774193548,0.0024556978419878186,-0.0007107294701990785,0.001683883206743663
Portfolio,-0.0002122351467076511,0.050208659581343074,0.02107819995547818,0.018567298038722212,0.13332897564295804,0.07147880687529304,166.2173913043478,,4.454903406048892,0.5206273440163655,0.003162848259860337,,
