bundle,horizon,cap,vol_window,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,40,20,32,760.57958984375,0.8519772545757833,0.0,1.22155209799077,100000.0,100760.57958984375
2,50,20,32,-516.72021484375,-1.227946176013902,0.0,0.4560498756603776,100000.0,99483.27978515625
3,75,20,32,-168.23095703125,-0.4155801985616581,0.0,0.7270042628718127,100000.0,99831.76904296875
4,75,20,32,338.150390625,0.421725650521194,0.0,1.145510458619368,100000.0,100338.150390625
5,25,20,32,136.07958984375,0.19321589075057977,0.0,1.0807742638566247,100000.0,100136.07958984375
6,25,20,32,139.9306640625,0.2350731845686834,0.0,1.0887300473655432,100000.0,100139.9306640625
7,25,20,32,772.66015625,1.3249358337531778,0.0,4.649262955924949,100000.0,100772.66015625
8,25,20,32,234.5986328125,0.34032618442093837,0.0,1.193056277710317,100000.0,100234.5986328125
9,20,20,32,-268.9404296875,-0.4890019783914928,0.0,0.6983218987881171,100000.0,99731.0595703125
10,50,20,32,29.9892578125,0.06071321469311092,0.0,1.0497893893751074,100000.0,100029.9892578125
