bundle,horizon,cap,vol_window,multiplier,tau,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,75,20,32,5.0,0.2,7559.3414306640625,0.20792889415038868,0.0,1.0494688440774675,100000.0,107559.34143066406
2,40,20,32,5.0,0.2,-13085.595397949219,-0.3703282960489153,0.0,0.9287331606353724,100000.0,86914.40460205078
3,80,20,32,5.0,0.2,18005.64514160156,0.5965591792397169,0.0,1.1263094299301182,100000.0,118005.64514160156
4,80,20,32,5.0,0.2,12077.392578125,0.34608643442636877,0.0,1.0838367243314526,100000.0,112077.392578125
5,75,20,32,5.0,0.2,777.142333984375,0.023073617529109917,0.0,1.004968420423696,100000.0,100777.14233398438
6,75,20,32,5.0,0.2,16222.443237304688,0.5369916283608234,0.0,1.1123332508168096,100000.0,116222.44323730469
7,75,20,32,5.0,0.2,-45913.984375,-1.2754912532876757,0.0,0.7383822084352434,100000.0,54086.015625
8,80,20,32,5.0,0.2,56549.451904296875,1.933959648659766,0.0,1.519212789703801,100000.0,156549.45190429688
9,80,20,32,5.0,0.2,-23345.245361328125,-0.5814531058998866,0.0,0.8585500776182173,100000.0,76654.75463867188
10,80,20,32,5.0,0.2,24814.554443359375,0.6257984291676407,0.0,1.156338620748296,100000.0,124814.55444335938
