bundle,horizon,cap,vol_window,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,80,20,32,209.38037109375,0.29170388419899623,0.0,1.0722376990591989,100000.0,100209.38037109375
2,40,20,32,-224.699951171875,-0.307265854619899,0.0,0.939524600017925,100000.0,99775.30004882812
3,80,20,32,257.030029296875,0.4192493921775932,0.0,1.0895942960296658,100000.0,100257.03002929688
4,80,20,32,179.10986328125,0.24660520521244314,0.0,1.0603236200717214,100000.0,100179.10986328125
5,50,20,32,244.4000244140625,0.32590451669894566,0.0,1.0723241761663587,100000.0,100244.40002441406
6,50,20,32,114.2701416015625,0.17195046828583468,0.0,1.0347714506673837,100000.0,100114.27014160156
7,75,20,32,-859.299560546875,-1.1899555503143797,0.0,0.7269673121314923,100000.0,99140.70043945312
8,75,20,32,1044.310302734375,1.752743235768605,0.0,1.4777570467152559,100000.0,101044.31030273438
9,80,20,32,-247.199951171875,-0.3198666653020005,0.0,0.9154972963300995,100000.0,99752.80004882812
10,75,20,32,599.81005859375,0.6893702907048178,0.0,1.1984738621199045,100000.0,100599.81005859375
