instrument,symbol,strategy,forecast_scale
DAX|ewmac,DAX,ewmac,3.861076025603234
DAX|trend_breakout,DAX,trend_breakout,1.0604795212262204
SP500|ewmac,SP500,ewmac,3.327909283564681
SP500|trend_breakout,SP500,trend_breakout,0.8895612874561021
