,equity
1508,200000.0
1509,200000.0
1510,200000.0
1511,199997.7145500488
1512,200018.9245238609
1513,200014.32325844016
1514,200056.93325278457
1515,199935.09865369668
1516,199958.34001063884
1517,199888.15565847215
1518,199813.19760010025
1519,199919.74776819916
1520,199564.37819903347
1521,199585.36812149803
1522,199598.27464395956
1523,199598.27464395956
1524,199598.27464395956
1525,199595.99551112994
1526,199603.3305177765
1527,199577.8312653998
1528,199589.70617072258
1529,199531.72538544395
1530,199495.49669674644
1531,199495.49669674644
1532,199493.24760443703
1533,199439.03533875273
1534,199448.35908930923
1535,199432.35355326612
1536,199450.68853065206
1537,199322.06680106616
1538,199299.79270608898
1539,199250.77551556882
1540,199248.4968438596
1541,199227.52613414542
1542,199273.25622599758
1543,199224.63350282775
1544,199238.68951437454
1545,199308.77084785054
1546,199105.2964498514
1547,199208.34172409866
1548,199176.96677503845
1549,199148.43416396246
1550,199012.18893289287
1551,198988.50643382288
1552,199014.27510533782
1553,198949.92171766772
1554,198995.6307778988
1555,199009.11253755234
1556,199073.24561013628
1557,199126.0969396353
1558,199158.29933116052
1559,199194.2410599088
1560,199140.20852781466
1561,198944.8028059244
1562,199136.73124809877
1563,199036.06777630496
1564,199074.279931529
1565,199031.97606515465
1566,198737.81337171092
1567,199023.49712557625
1568,198957.8190071019
1569,198824.01975238541
1570,198897.0891572276
1571,199098.96958132504
1572,199236.7844565593
1573,199161.47236833323
1574,198754.6883751923
1575,198780.23159029736
1576,198578.18386242515
1577,198598.99744994874
1578,198608.92739982126
1579,198571.29062017094
1580,198789.2233388164
1581,198815.56315357142
1582,198828.4738508433
1583,198823.49294442622
1584,198760.4650234268
1585,198633.8547042579
1586,198706.75420183703
1587,198792.39555157584
1588,198807.79170750888
1589,198670.80688793462
1590,198830.14126308766
1591,198728.93740077995
1592,198811.01254896208
1593,199077.29448755464
1594,199047.60803194725
1595,199061.93887657826
1596,198993.5599341956
1597,198485.9235130117
1598,198117.15272190268
1599,198163.3196118139
1600,198137.0703838589
1601,198027.0345964818
1602,198022.55560109456
1603,197968.62738875466
1604,198040.03385620232
1605,198146.52317553642
1606,198094.99683086356
1607,197667.53294831
1608,197485.40120140347
1609,197886.0998518685
1610,197683.86083756434
1611,197372.81950361223
1612,197335.6639257805
1613,197675.03092208615
1614,197696.3807665056
1615,197810.5497024125
1616,197781.90834745934
1617,197893.25965843216
1618,198185.1172966746
1619,198525.74796702826
1620,198365.95212933567
1621,197584.27902084714
1622,197675.56286127807
1623,197901.1113541517
1624,197901.3094485259
1625,197662.24553639555
1626,197792.70213587573
1627,197814.4588502183
1628,197692.3561624855
1629,197858.57827910088
1630,197721.81152793067
1631,197321.10573979287
1632,197347.44854097604
1633,197246.62363845523
1634,197292.38439765814
1635,197276.7493615313
1636,197319.1637422359
1637,197309.9884733823
1638,197282.6384780681
1639,197280.41056525588
1640,197360.9007078636
1641,197388.69325805907
1642,197405.56960580783
1643,197382.17709400423
1644,197155.68032295373
1645,197260.96198571703
1646,197348.1509937988
1647,197144.6850983049
1648,197063.88674190894
1649,197066.25141232723
1650,197091.8703858499
1651,197013.99048095354
1652,197013.99048095354
1653,197013.99048095354
1654,197011.74707275958
1655,197025.83334052743
1656,197021.35083446192
1657,197003.6683365777
1658,196982.53950076224
1659,196955.3065204019
1660,196984.16100173988
1661,196959.19292269007
1662,196966.43102877276
1663,197051.96367740326
1664,197098.2266095449
1665,197118.4284559771
1666,197163.66554214232
1667,197092.9819348245
1668,197109.93201150835
1669,196995.0177873514
1670,197055.49660445773
1671,197036.3803931355
1672,197165.93131031058
1673,197227.54566384503
1674,197254.41707429476
1675,197213.92563373846
1676,197424.3439135227
1677,197499.4504596239
1678,196986.34727307095
1679,196740.5086964131
1680,196933.31535558263
1681,196957.734894369
1682,197487.94357797233
1683,197683.61632264024
1684,197595.15700665698
1685,197759.83338758934
1686,197840.20287922857
1687,197627.80165347745
1688,198035.2874220485
1689,197608.2050213589
1690,197431.59268812108
1691,198058.5581815084
1692,198550.39964655062
1693,198561.1837853533
1694,198695.27559159018
1695,198494.967303531
1696,198155.4580207107
1697,198374.29002487473
1698,199568.89725843948
1699,199777.49479950938
1700,199505.54731891002
1701,199583.25918546628
1702,199803.59988322912
1703,199526.2650720045
1704,200551.86754617456
1705,200761.69787536623
1706,201020.6852444989
1707,200643.01689593607
1708,200774.68887577404
1709,200862.01924810515
1710,200980.7928755719
1711,201700.0063965467
1712,201730.86524182465
1713,202145.82270121042
1714,202732.76287615355
1715,201656.9069337986
1716,201704.50505333563
1717,201705.30281041126
1718,200888.00237835955
1719,200850.22797908421
1720,200603.6264196978
1721,201763.35507675973
1722,201961.60072209866
1723,202162.76924165498
1724,201602.5245568808
1725,201794.4241806777
1726,202043.0362907224
1727,202665.3236631719
1728,202900.51851528842
1729,203140.80852759618
1730,203255.37396369776
1731,203194.9097078895
1732,203394.40137052472
1733,203677.92514645617
1734,203232.98945095929
1735,201583.06578797198
1736,201894.91543053597
1737,202729.7520715675
1738,202799.69532086924
1739,202558.76994529384
1740,203250.0542913584
1741,203565.2959443206
1742,203461.17311547132
1743,203147.28421025418
1744,203289.73715159498
1745,203468.63621486927
1746,203385.8255727789
1747,203473.19830210903
1748,204282.7941628708
1749,204380.8484078571
1750,204095.71505009875
1751,204296.880862285
1752,204152.44157095466
1753,203776.27341293526
1754,203195.18045794737
1755,203598.20189572804
1756,204205.32815490646
1757,204076.0670795711
1758,203679.9409455134
1759,203584.71647068116
1760,203679.6695254947
1761,203237.7763452186
1762,203378.45487134674
1763,203348.7624113826
1764,203457.7418522488
1765,203777.11859940307
1766,204021.0606631935
1767,204061.36100220645
1768,203987.04978096322
1769,203724.49155220762
1770,203997.94107428685
1771,203494.90650509697
1772,203800.1227704583
1773,204601.73063111614
1774,203598.0869914134
1775,203519.29587382494
1776,203445.39470347262
1777,203776.57250285172
1778,204110.01546881133
1779,204424.34289937138
1780,204519.50871669024
1781,204447.92564035134
1782,204497.0467981061
1783,204610.64600597526
1784,204514.43004765685
1785,203935.4619056435
1786,203693.8630881089
1787,204192.96464749484
1788,204700.18176634394
1789,204767.21455555197
1790,204702.19996509064
1791,204911.54998210535
1792,204796.02834430506
1793,204723.1144252162
1794,204401.84756132597
1795,204297.0441769788
1796,201706.8741915426
1797,201782.90986931056
1798,201762.07307819714
1799,201759.66487631283
1800,201823.0942049944
1801,201608.25312702748
1802,201642.93038643527
1803,201542.91504990053
1804,201533.34225348377
1805,201495.45388673517
1806,201784.09637039402
1807,201691.07296595708
1808,201639.5410445372
1809,201690.8722524168
1810,201459.88207854377
1811,201370.4350713299
1812,201125.33098845446
1813,201127.84505509184
1814,201117.50120948418
1815,201117.50120948418
1816,201117.50120948418
1817,201117.50120948418
1818,201117.50120948418
1819,201117.50120948418
1820,201117.50120948418
1821,201115.0498184099
1822,201123.09429765175
1823,201145.1676309044
1824,201149.44184294733
1825,201168.4506125277
1826,201120.57242305516
1827,201165.47286090793
1828,201185.93534625968
1829,201419.51192249072
1830,201464.60862953562
1831,201485.1584131014
1832,201447.00606942902
1833,201787.4671499857
1834,201683.95254403463
1835,201665.71931036716
1836,202195.44508320926
1837,202154.0440108586
1838,202137.5905318289
1839,201484.7066470945
1840,201682.66807685842
1841,202167.71464738858
1842,202492.18993275808
1843,202669.51569046156
1844,202899.1201480708
1845,202774.13359655676
1846,203119.05135819103
1847,201610.71631335886
1848,202407.98616173756
1849,202255.16766211565
1850,202133.70719394783
1851,202853.55992998887
1852,202776.0183395465
1853,203331.09462397895
1854,203474.44155644742
1855,203414.62126286287
1856,203302.33847772022
1857,202396.40679821337
1858,202812.32993178815
1859,202933.0035156712
1860,203547.89026860273
1861,203565.16142151318
1862,203885.36778037786
1863,204044.60718050777
1864,203580.2153361643
1865,202887.00974544004
1866,201662.41043628918
1867,202172.61081642465
1868,202209.25336817143
1869,201799.28130771007
1870,202254.22286321354
1871,202364.95593921555
1872,202515.8199772756
1873,202485.00635449908
1874,202538.66290379036
1875,202113.62281342674
1876,202255.35462134352
1877,201955.05517227662
1878,201906.38331370402
1879,201857.4212622182
1880,201990.64026858954
1881,201987.45889134827
1882,201975.5417052437
1883,202056.73626749267
1884,202084.21568764353
3393,202084.21568764353
3394,202084.21568764353
3395,202084.21568764353
3396,202084.21568764353
3397,202084.21568764353
3398,202084.21568764353
3399,202084.21568764353
3400,202084.21568764353
3401,202084.21568764353
3402,202084.21568764353
3403,202081.63600184102
3404,201983.18788888652
3405,201983.18788888652
3406,201983.18788888652
3407,201983.18788888652
3408,201983.18788888652
3409,201980.70455613654
3410,201905.16335348313
3411,201999.25123354574
3412,201946.02423358083
3413,201913.76389854506
3414,202108.8796326998
3415,201759.13036452435
3416,201667.93607497876
3417,201455.88447572637
3418,201677.02968340952
3419,201671.48307271767
3420,201678.74295069108
3421,201944.75726188102
3422,202145.08734853734
3423,202096.45937320904
3424,201568.4876598728
3425,201572.41716273892
3426,201556.59426932383
3427,201385.7755477621
3428,201401.58379031168
3429,201229.20485833578
3430,201292.49122218674
3431,201465.75400429644
3432,201307.60326443813
3433,201338.4033031639
3434,201256.10635370098
3435,201178.47154043367
3436,201264.62624542878
3437,201233.1282822845
3438,201358.89898746097
3439,201368.212328138
3440,201268.58520844002
3441,201268.23264445103
3442,201203.39064882146
3443,201203.39064882146
3444,201203.39064882146
3445,201203.39064882146
3446,201203.39064882146
3447,201200.85674362045
3448,201236.06689355057
3449,201195.71896387864
3450,201193.103321292
3451,201234.3986232637
3452,201264.3823521406
3453,201238.54325142442
3454,201442.700146597
3455,201438.57022698154
3456,201367.66345682694
3457,201397.82547342638
3458,201620.62181785636
3459,201544.86272153695
3460,201734.87017417874
3461,201694.32065262107
3462,201572.3973960012
3463,201681.53717782453
3464,201417.5342730671
3465,201212.49260005483
3466,201267.02039956316
3467,201243.6727372724
3468,200444.73507129558
3469,200501.86133142386
3470,200632.26825099823
3471,200613.6598040479
3472,200606.23719659104
3473,200710.9536768957
3474,200739.55474278616
3475,200689.57078968995
3476,200781.6872291877
3477,200576.18685368533
3478,200582.2546995724
3479,200542.23646133885
3480,200542.23646133885
3481,200542.23646133885
3482,200539.75498176663
3483,200645.3896404226
3484,200715.7763513509
3485,200293.08799312866
3486,200343.04097301513
3487,200537.6735525542
3488,200461.56984815674
3489,200716.85736371353
3490,200652.32758011503
3491,200879.950135214
3492,200516.97043618848
3493,200850.22220660278
3494,200531.29376919792
3495,200122.30980389295
3496,200115.30601162967
3497,199998.5571617241
3498,200042.15670070203
3499,200090.3168743469
3500,199979.16684987373
3501,199867.52869968346
3502,199878.4164814795
3503,199878.4164814795
3504,199878.4164814795
3505,199878.4164814795
3506,199878.4164814795
3507,199878.4164814795
3508,199878.4164814795
3509,199875.96299392456
3510,199885.85675649712
3511,199850.27709839458
3512,199726.18577549254
3513,199726.18577549254
3514,199726.18577549254
