date,pnl,equity
2005-12-21,0.0,500000.0
2005-12-22,0.0,500000.0
2005-12-23,0.0,500000.0
2005-12-27,0.0,500000.0
2005-12-28,0.0,500000.0
2005-12-29,0.0,500000.0
2005-12-30,0.0,500000.0
2006-01-02,0.0,500000.0
2006-01-03,0.0,500000.0
2006-01-04,0.0,500000.0
2006-01-05,0.0,500000.0
2006-01-06,0.0,500000.0
2006-01-09,0.0,500000.0
2006-01-10,0.0,500000.0
2006-01-11,0.0,500000.0
2006-01-12,0.0,500000.0
2006-01-13,0.0,500000.0
2006-01-16,0.0,500000.0
2006-01-17,0.0,500000.0
2006-01-18,0.0,500000.0
2006-01-19,0.0,500000.0
2006-01-20,0.0,500000.0
2006-01-23,0.0,500000.0
2006-01-24,0.0,500000.0
2006-01-25,0.0,500000.0
2006-01-26,0.0,500000.0
2006-01-27,0.0,500000.0
2006-01-30,0.0,500000.0
2006-01-31,0.0,500000.0
2006-02-01,0.0,500000.0
2006-02-02,0.0,500000.0
2006-02-03,0.0,500000.0
2006-02-06,0.0,500000.0
2006-02-07,0.0,500000.0
2006-02-08,0.0,500000.0
2006-02-09,0.0,500000.0
2006-02-10,0.0,500000.0
2006-02-13,0.0,500000.0
2006-02-14,0.0,500000.0
2006-02-15,0.0,500000.0
2006-02-16,-19.029244067049028,499980.97075593297
2006-02-17,59.518790876492844,500040.48954680946
2006-02-20,-14.605200168211013,500025.88434664125
2006-02-21,67.60844076052308,500093.4927874018
2006-02-22,581.6901121246628,500675.18289952644
2006-02-23,-39.86862743459642,500635.31427209184
2006-02-24,122.67784325405955,500757.9921153459
2006-02-27,420.5324143068865,501178.5245296528
2006-02-28,-1139.1715254737885,500039.35300417896
2006-03-01,588.8319199773832,500628.18492415635
2006-03-02,-702.8697824845383,499925.3151416718
2006-03-03,-448.33057234296575,499476.98456932884
2006-03-06,235.03470465308055,499712.0192739819
2006-03-07,-105.44283107039519,499606.5764429115
2006-03-08,-474.09160727533344,499132.4848356362
2006-03-09,350.33839254872873,499482.82322818495
2006-03-10,432.9631490423344,499915.7863772273
2006-03-13,300.6129157135729,500216.39929294086
2006-03-14,92.05600282859432,500308.45529576944
2006-03-15,199.89688743953593,500508.352183209
2006-03-16,-5.039992738631554,500503.31219047034
2006-03-17,-112.72837639320642,500390.58381407714
2006-03-20,146.5125316956287,500537.0963457728
2006-03-21,76.87222056702012,500613.9685663398
2006-03-22,172.91317460115536,500786.88174094097
2006-03-23,124.02862285554875,500910.9103637965
2006-03-24,219.29200103972107,501130.20236483624
2006-03-27,-511.8639941547881,500618.33837068145
2006-03-28,-181.85760057962034,500436.4807701018
2006-03-29,203.38227967330022,500639.86304977513
2006-03-30,591.2063706074841,501231.0694203826
2006-03-31,-119.65913600544445,501111.41028437717
2006-04-03,458.59757670841645,501570.0078610856
2006-04-04,-87.5339588712668,501482.4739022143
2006-04-05,132.03573930845596,501614.5096415228
2006-04-06,18.723619857919402,501633.2332613807
2006-04-07,-664.3664123376366,500968.86684904306
2006-04-10,427.98816016473575,501396.8550092078
2006-04-11,-809.6803268827268,500587.17468232504
2006-04-12,-52.47948325867765,500534.69519906637
2006-04-13,123.47474782201185,500658.1699468884
2006-04-17,0.0,500658.1699468884
2006-04-18,-140.88219043649394,500517.2877564519
2006-04-19,677.1774781476706,501194.46523459954
2006-04-20,510.9427951767383,501705.4080297763
2006-04-21,234.88028936515377,501940.28831914143
2006-04-24,-391.72081379328296,501548.5675053482
2006-04-25,-484.87654041124136,501063.6909649369
2006-04-26,485.34374982118607,501549.0347147581
2006-04-27,-70.13954212717715,501478.8951726309
2006-04-28,-527.3232461582564,500951.57192647265
2006-05-01,-406.5032958984375,500545.0686305742
2006-05-02,967.1419286363525,501512.21055921057
2006-05-03,-1109.228507695254,500402.9820515153
