,cagr,annual_vol,sharpe,sortino,max_drawdown,avg_drawdown,avg_dd_duration,profit_factor,expectancy,win_rate,std_daily,ret_5pct,ret_95pct,avg_win,avg_loss,max_loss_pct,avg_cost_pct,sharpe_no_cost
SP500 (ewmac),-0.25921401206954786,14.387601005769353,0.026713234691888462,0.036073320399107676,1.7191711632519535,0.37003248989374327,32.59405940594059,1.0685441780676912,199.42373933846602,0.26785714285714285,0.9063336720021068,-0.13744110513179042,0.12329226975160773,0.09872755779078031,-0.10007839348205327,-17.124627193934412,0.0015717281091361635,0.0006768550874772745
SP500 (trend breakout),,33.13321946951485,0.2487022168443892,1.0929641471453302,1.6769111925830993,0.38345062989759154,21.328244274809162,1.3553920264988235,1482.6093247562521,0.3548387096774194,2.0871966393157075,-0.12471051021502907,0.11932914007004569,0.15558855601187388,-0.08734615211810301,-13.991900536749418,0.0015759009557296708,-0.24979257361486495
DAX (ewmac),-0.09181491719506252,2.001629472000087,0.6334909874567987,1.1088543741423709,0.9850883392864354,0.361713069420631,28.652173913043477,1.0807957243392963,186.6119606005169,0.23943661971830985,0.12609080475737508,-0.09829695954822355,0.10194667258171253,0.060016261272573576,-0.048061277091676985,-0.7798051422763956,0.0011174927830436142,0.6000637655570067
DAX (trend breakout),-0.14497202988773128,14.2493591264853,0.012665131511579868,0.011786085121450122,1.8263606746679684,0.5164001747422117,26.74774774774775,0.8727726963273168,-499.99073430664095,0.3,0.8976252521602065,-0.15239536073102694,0.14930094976189498,0.15099501838469978,-0.15214514372065424,-24.411682662789087,0.001119319443485372,-0.29018112049091427
Portfolio,0.024618772156893565,23.45849981867295,0.12998119473158576,0.18919433850655165,1.0314824597686714,0.4355702617638822,96.58974358974359,1.1487868643957702,2836.158184856413,0.4375,1.4777465869252957,-0.06497435577457086,0.05787329473357659,0.0893599672776257,-0.07208293181482044,-40.44686567729637,,
