,cagr,annual_vol,sharpe,sortino,max_drawdown,avg_drawdown,avg_dd_duration,profit_factor,expectancy,win_rate,std_daily,ret_5pct,ret_95pct,avg_win,avg_loss,max_loss_pct
SP500,0.007372901470305004,0.05896647085618428,0.15411796469883843,0.18082829830944397,0.22271919276081048,0.06835435009726228,95.0909090909091,1.0326276669419296,6.2081837591189,0.7882601594773754,0.0037145385137286077,-0.005833873204909285,0.006025414498004892,0.0024674385552722142,-0.0024384391025215526,-0.04761841287187818
DAX,0.004086270976288553,0.042836628557415234,0.1166463950258729,0.08723271247812082,0.11346039364447247,0.03059825455698239,62.043010752688176,1.1424421575011383,230.48148530796593,5.586734693877551,0.0026984539563659105,-0.0040707163312679985,0.004192577826838191,0.003308444023483495,-0.003302529887366598,-0.0345939669562233
Portfolio,0.0012630004309475,0.0399531940435864,0.0516661327572999,0.05392276980821,0.1999142191406559,0.0857769482282636,387.6444444444445,1.0123355964649563,0.8803399577237415,0.5101578754130461,0.0025168146552865,-0.0033223272503622,0.003408125135822,0.0014161529892121,-0.0014297661291124,-0.0924303971619373
