date,position,equity,drawdown,delta_pos,pnl,sample,bundle
2005-12-21,0,100000.0,0.0,0.0,0.0,OOS,1
2005-12-22,0,100000.0,0.0,0.0,0.0,OOS,1
2005-12-23,0,100000.0,0.0,0.0,0.0,OOS,1
2005-12-27,0,100000.0,0.0,0.0,0.0,OOS,1
2005-12-28,0,100000.0,0.0,0.0,0.0,OOS,1
2005-12-29,0,100000.0,0.0,0.0,0.0,OOS,1
2005-12-30,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-02,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-03,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-04,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-05,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-06,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-09,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-10,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-11,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-12,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-13,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-16,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-17,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-18,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-19,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-20,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-23,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-24,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-25,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-26,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-27,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-30,0,100000.0,0.0,0.0,0.0,OOS,1
2006-01-31,0,100000.0,0.0,0.0,0.0,OOS,1
2006-02-01,0,100000.0,0.0,0.0,0.0,OOS,1
2006-02-02,0,100000.0,0.0,0.0,0.0,OOS,1
2006-02-03,1,99978.19616062242,0.00021803839377578698,21.803839377582772,-21.803839377582772,OOS,1
2006-02-06,1,100035.97551207549,0.0,79.58319083064679,57.77935145306401,OOS,1
2006-02-07,1,100072.79482882786,0.0,20.96003470069263,36.81931675237138,OOS,1
2006-02-08,1,100029.49413773844,0.0004326919335418088,80.12000784178554,-43.30069108941415,OOS,1
2006-02-09,1,100585.56024804404,0.0,599.3668013950187,556.0661103056045,OOS,1
2006-02-10,1,100284.00307662268,0.002998016521235436,857.6232817269629,-301.55717142135836,OOS,1
2006-02-13,1,100676.0973011738,0.0,693.6513959724689,392.0942245511105,OOS,1
2006-02-14,1,100726.64358345252,0.0,341.54794227238744,50.54628227872308,OOS,1
2006-02-15,1,100728.54693201128,0.0,48.64293371996283,1.903348558760248,OOS,1
2006-02-16,1,100966.32326371376,0.0,235.87298314371608,237.77633170247634,OOS,1
2006-02-17,1,101071.25682934561,0.0,133.37367113924495,104.93356563185806,OOS,1
2006-02-20,1,101118.9307630536,0.0,57.25963192386551,47.673933707992546,OOS,1
2006-02-21,1,101151.13122008335,0.0,138.79393807135057,32.20045702974312,OOS,1
2006-02-22,1,101638.67178410677,0.0,455.3401069936808,487.54056402342394,OOS,1
2006-02-23,1,101471.59966300141,0.001643784970549818,654.6126851287784,-167.07212110535437,OOS,1
2006-02-24,1,101644.26161121561,0.0,359.5402919269712,172.66194821419495,OOS,1
2006-02-27,1,102171.89953277587,0.0,355.08302633817425,527.6379215602647,OOS,1
2006-02-28,1,100530.78488355232,0.016062289697345807,2168.7525707838304,-1641.114649223566,OOS,1
2006-03-01,1,101620.53266882604,0.005396462887263457,2730.8624344972923,1089.7477852737265,OOS,1
2006-03-02,1,100726.53177361547,0.014146431315948518,1983.748680484303,-894.0008952105761,OOS,1
