,cagr,annual_vol,sharpe,sortino,max_drawdown,profit_factor,expectancy,win_rate,std_daily
SP500,0.001951057066579498,0.0492801052777711,0.06424884714957808,0.06830149212685437,0.09561070333279516,1.0123477952962168,3.724823648351658,1.5008833922261484,0.0031043548368586654
DAX,0.00581781982722962,0.05695861504602969,0.13034980537291818,0.12087637578571017,0.10624954396484376,1.0301269673408437,49.99891343210706,4.7711442786069655,0.0035880554865346755
Portfolio,0.0,0.0,,,0.0,,,,0.0
