bundle,span_short,span_long,vol_window,cap,tau,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,20,50,32,20,0.2,1.0,5.0,1.0,1011.552734375,0.12111182048616584,0.0,1.0543356015350753,100000.0,101011.552734375
2,16,64,32,20,0.2,1.0,5.0,1.0,5798.9501953125,0.40735386647543453,0.0,1.1029489873410563,100000.0,105798.9501953125
3,16,64,32,20,0.2,1.0,5.0,1.0,4134.10400390625,0.2982819290092653,0.0,1.0626907835519572,100000.0,104134.10400390625
4,20,64,32,20,0.2,1.0,5.0,1.0,-1344.6044921875,-0.09287275092357725,0.0,0.9746585087387079,100000.0,98655.3955078125
5,20,80,32,20,0.2,1.0,5.0,1.0,976.0498046875,0.06434631458586704,0.0,1.0152729100048965,100000.0,100976.0498046875
6,20,50,32,20,0.2,1.0,5.0,1.0,297.0947265625,0.028866100813101318,0.0,1.008798547462412,100000.0,100297.0947265625
7,20,50,32,20,0.2,1.0,5.0,1.0,2437.9052734375,0.3089487356572511,0.0,1.182323811248809,100000.0,102437.9052734375
8,20,50,32,20,0.2,1.0,5.0,1.0,1744.0869140625,0.19215646924074828,0.0,1.0930743951020305,100000.0,101744.0869140625
9,20,50,32,20,0.2,1.0,5.0,1.0,-7171.6015625,-0.778960348050265,0.0,0.5816224767993583,100000.0,92828.3984375
10,20,50,32,20,0.2,1.0,5.0,1.0,5936.552734375,0.5920873748437231,0.0,1.2710489976943782,100000.0,105936.552734375
