period_label,start,end,bars,cum_return,vol,max_drawdown,ret_over_vol
2005-12,2005-12-22,2005-12-30,6,0.0,0.0,0.0,
2006-01,2006-01-02,2006-01-31,22,0.0,0.0,0.0,
2006-02,2006-02-01,2006-02-28,20,0.004152190292827429,0.00691033818477243,-0.024163229483939785,0.6008664383426509
2006-03,2006-03-01,2006-03-31,23,0.02398350438067931,0.008105089383698319,-0.03509596299455331,2.959067228662164
2006-04,2006-04-03,2006-04-28,19,0.0010736300959210965,0.009633461987170449,-0.023533303009687145,0.11144800253023517
2006-05,2006-05-01,2006-05-31,23,-0.1184496655938806,0.021029410742609,-0.163250924221645,-5.632571784519018
2006-06,2006-06-01,2006-06-30,22,-0.027129647321512462,0.006223662662769015,-0.03953315742580621,-4.3591127590842165
2006-07,2006-07-03,2006-07-31,21,-0.009313099367259658,0.006890996920918858,-0.0321320901374158,-1.3514879594544693
2006-08,2006-08-01,2006-08-31,23,-0.002546291282250146,0.0022102224206344816,-0.010260605716215676,-1.1520520552493492
2006-09,2006-09-01,2006-09-29,21,0.046055271155929,0.010498463944613155,-0.022972474622409256,4.386858058369608
2006-10,2006-10-02,2006-10-31,22,0.12053869107153292,0.013403175165616926,-0.023931982084880676,8.9932937219794
2006-11,2006-11-01,2006-11-30,22,0.045134472378046464,0.022125344768523292,-0.08682696162159942,2.039944364720463
2006-12,2006-12-01,2006-12-29,20,0.07310784785401903,0.015559529431164391,-0.04016732388459732,4.69858990128521
2007-01,2007-01-02,2007-01-31,22,0.0603911218097799,0.01705730803897838,-0.04094296945055087,3.5404837429081764
2007-02,2007-02-01,2007-02-28,20,-0.07815319584218205,0.030257811175096256,-0.13552232335765912,-2.5829097613810936
2007-03,2007-03-01,2007-03-30,22,-0.01535434721900375,0.011890995777548976,-0.042241806536326365,-1.2912583190041849
2007-04,2007-04-02,2007-04-30,20,0.04726100392851462,0.0063665957474483845,-0.008450798844587881,7.42327702327511
2007-05,2007-05-01,2007-05-31,22,0.10791629329339036,0.0122827696658668,-0.031402245653733285,8.785990149541298
