bundle,span_short,span_long,vol_window,forecast_scale,cap,tau,idm,multiplier,fx,capital,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,7347.15087890625,1.4586628461049593,0.0,1.3756086930636793,50000.0,57347.15087890625
2,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,-1812.3974609375,-0.6950398567967331,0.0,0.6714527927871311,50000.0,48187.6025390625
3,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,-4932.298583984375,-1.1819065777925866,0.0,0.6433636804477625,50000.0,45067.701416015625
4,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,3582.5,0.8135923894520236,0.0,1.396212924701313,50000.0,53582.5
5,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,791.748046875,0.1674748490769558,0.0,1.0507108113948742,50000.0,50791.748046875
6,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,-4320.8203125,-0.9235185713683375,0.0,0.7043479597294942,50000.0,45679.1796875
7,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,3863.30078125,1.3249358337531776,0.0,4.649262955924949,50000.0,53863.30078125
8,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,-1444.0478515625,-0.32475368958150225,0.0,0.8940669982598878,50000.0,48555.9521484375
9,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,556.0986328125,0.19908508846736714,0.0,1.1661458606865887,50000.0,50556.0986328125
10,10,50,32,5.0,20,0.2,1.0,5.0,1.0,50000.0,-332.197265625,-0.15868060283137553,0.0,0.8402286406729588,50000.0,49667.802734375
