,cagr,annual_vol,sharpe,sortino,max_drawdown,profit_factor,expectancy,win_rate,std_daily
SP500,-0.0038611966389950902,0.2332895341163676,0.10148540278741526,0.1125324193478387,0.4252837642268877,1.014345992899997,8.863775855673799,0.6881368267831149,0.014695859303476836
portfolio,0.017112444373769575,0.25739868112362035,0.1946236791395949,0.23794398636935848,0.30522412722727826,1.023437493667239,42.77547433802946,1.5975024015369836,0.016214592810693214
