bundle,span_short,span_long,vol_window,cap,tau,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,20,80,32,20,0.2,1.0,5.0,1.0,5619.5001220703125,0.5986721183577962,0.0,1.1489535543269385,100000.0,105619.50012207031
2,20,80,32,20,0.2,1.0,5.0,1.0,469.79888916015625,0.078112119717329,0.0,1.015708558448382,100000.0,100469.79888916016
3,20,80,32,20,0.2,1.0,5.0,1.0,1746.197509765625,0.19446022109034566,0.0,1.041171009914381,100000.0,101746.19750976562
4,16,80,32,20,0.2,1.0,5.0,1.0,3490.3466796875,0.43029279330310904,0.0,1.0987508072546215,100000.0,103490.3466796875
5,20,80,32,20,0.2,1.0,5.0,1.0,1065.8453369140625,0.11959821722796923,0.0,1.0250768861271098,100000.0,101065.84533691406
6,16,80,32,20,0.2,1.0,5.0,1.0,-5123.5504150390625,-0.5633783205095395,0.0,0.8900464629067325,100000.0,94876.44958496094
7,16,80,32,20,0.2,1.0,5.0,1.0,-5572.1014404296875,-1.1916607204991765,0.0,0.7655682378537666,100000.0,94427.89855957031
8,20,80,32,20,0.2,1.0,5.0,1.0,12941.951904296875,1.220231290030313,0.0,1.305801335984215,100000.0,112941.95190429688
9,20,80,32,20,0.2,1.0,5.0,1.0,-4091.895751953125,-0.4984302563169274,0.0,0.8762171425292296,100000.0,95908.10424804688
10,20,80,32,20,0.2,1.0,5.0,1.0,6758.800048828125,0.7388700032721027,0.0,1.199774442291843,100000.0,106758.80004882812
