bundle,span_short,span_long,vol_window,forecast_scale,cap,tau,idm,multiplier,fx,capital,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,1161.2005615234375,0.2935381295828661,0.0,1.0656219369779873,50000.0,51161.20056152344
2,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-260.09948730468795,-0.08292009489824485,0.0,0.9826043040353094,50000.0,49739.90051269531
3,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,448.99841308593705,0.11727194482654246,0.0,1.0243259858487541,50000.0,50448.99841308594
4,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,991.7974853515625,0.27351917462904,0.0,1.0638337473198511,50000.0,50991.79748535156
5,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,2033.49609375,0.5144766678108016,0.0,1.1105238937658537,50000.0,52033.49609375
6,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-3529.9530029296875,-0.9614573992853337,0.0,0.8180207926971131,50000.0,46470.04699707031
7,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-2838.148193359375,-1.2039154051576342,0.0,0.7530433020322953,50000.0,47161.851806640625
8,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,5883.85498046875,1.2862799554610582,0.0,1.3284062053088108,50000.0,55883.85498046875
9,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,-2026.900634765625,-0.5803899779102915,0.0,0.8709564228835701,50000.0,47973.099365234375
10,10,50,32,4.1,20,0.2,1.0,5.0,1.0,50000.0,3554.552001953125,0.8840089270819095,0.0,1.272884362717627,50000.0,53554.552001953125
