bundle,span_short,span_long,vol_window,forecast_scale,cap,weight,tau,capital,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-659.7412925957924,-0.025510533035443598,0.0,0.9951177596888652,100000.0,99340.25870740421
2,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,24033.345358967803,0.7045632728069771,0.0,1.1393142824559905,100000.0,124033.3453589678
3,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-13392.872039675754,-0.4993071320529873,0.0,0.8918333557880276,100000.0,86607.12796032426
4,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-26945.146269798286,-1.069775907199063,0.0,0.8009545783650384,100000.0,73054.85373020172
5,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,43954.554886221864,1.1198417213711047,0.0,1.283358604455115,100000.0,143954.55488622186
6,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,7795.735252499511,0.23244910479735084,0.0,1.0563455113836993,100000.0,107795.73525249951
7,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-28135.183246135748,-1.13051265773539,0.0,0.7733011134643707,100000.0,71864.81675386424
8,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,40192.26172149178,1.1288317312755514,0.0,1.2458947667082105,100000.0,140192.26172149178
9,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-28336.153856516037,-1.4706044254984247,0.0,0.743656553109642,100000.0,71663.84614348396
10,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,5.0,1.0,-2556.2129241228104,-0.075348306531669,0.0,0.985017213439509,100000.0,97443.78707587719
