bundle,horizon,cap,vol_window,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,20,20,32,-263.9400448799134,-0.3469689482335843,0.0,0.9214628229972981,100000.0,99736.05995512009
2,20,20,32,535.6919713020325,0.8640836379145681,0.0,1.1750314932906856,100000.0,100535.69197130203
3,20,20,32,-287.8209764957428,-0.36103692903362955,0.0,0.9218318871243993,100000.0,99712.17902350426
4,20,20,32,77.7038893699646,0.11011846652112581,0.0,1.0236336730928859,100000.0,100077.70388936996
5,25,20,32,-308.0310258865356,-0.4823900735605498,0.0,0.9068526131293595,100000.0,99691.96897411346
6,40,20,32,302.31110095977795,0.39622429920346336,0.0,1.0885602169142754,100000.0,100302.31110095978
7,80,20,32,-76.33200073242188,-0.10959549550487784,0.0,0.9744634399796497,100000.0,99923.66799926758
8,80,20,32,-834.0520515441895,-1.4299065141293128,0.0,0.7302837994202661,100000.0,99165.94794845581
9,80,20,32,488.3100440502167,0.7375213995271385,0.0,1.1739475344789427,100000.0,100488.31004405022
10,80,20,32,-314.1970068216325,-0.4883125996160416,0.0,0.9031336631164584,100000.0,99685.80299317837
