bundle,span_short,span_long,vol_window,cap,idm,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,64,32,20,1.0,265.300048828125,0.356750787137375,0.0,1.0790991480457723,100000.0,100265.30004882812
2,20,50,32,20,1.0,-16.3602294921875,-0.018222821874382726,0.0,0.9958605807343657,100000.0,99983.63977050781
3,10,50,32,20,1.0,-53.55029296875,-0.07213934008397502,0.0,0.9826861190694588,100000.0,99946.44970703125
4,20,50,32,20,1.0,221.159423828125,0.3180163153613008,0.0,1.088896131144092,100000.0,100221.15942382812
5,20,50,32,20,1.0,-148.689697265625,-0.19993228389362955,0.0,0.9568676872913879,100000.0,99851.31030273438
6,16,50,32,20,1.0,-101.630615234375,-0.13137253821448241,0.0,0.9707454372561982,100000.0,99898.36938476562
7,20,64,32,20,1.0,-607.32958984375,-0.7936949952186193,0.0,0.8237687869199568,100000.0,99392.67041015625
8,20,80,32,20,1.0,868.21044921875,0.9831133317253913,0.0,1.2937919040035848,100000.0,100868.21044921875
9,20,64,32,20,1.0,108.21044921875,0.12080356951723464,0.0,1.0369750330308516,100000.0,100108.21044921875
10,20,64,32,20,1.0,688.6806640625,0.8321107195890196,0.0,1.4364149329729181,100000.0,100688.6806640625
