bundle,horizon,cap,vol_window,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,40,20,32,294.6591796875,0.43921396353592607,0.0,1.0925085365002116,100000.0,100294.6591796875
2,40,20,32,-754.000244140625,-0.8888110139326072,0.0,0.8083964800095989,100000.0,99245.99975585938
3,20,20,32,-231.08984375,-0.31790280760594536,0.0,0.9326677148626994,100000.0,99768.91015625
4,25,20,32,-104.209716796875,-0.1395482984064622,0.0,0.9673621543579407,100000.0,99895.79028320312
5,25,20,32,360.77001953125,0.5262641017725588,0.0,1.1151894078820082,100000.0,100360.77001953125
6,50,20,32,288.6298828125,0.39898484774893034,0.0,1.0861042333263122,100000.0,100288.6298828125
7,80,20,32,-1322.26025390625,-1.729761374699454,0.0,0.59630191372752,100000.0,98677.73974609375
8,40,20,32,1061.59033203125,1.4530213545935757,0.0,1.3945055409656575,100000.0,101061.59033203125
9,80,20,32,-436.44970703125,-0.46020123750072667,0.0,0.8588715330845853,100000.0,99563.55029296875
10,75,20,32,1035.759765625,1.479818959489256,0.0,1.8470868804394618,100000.0,101035.759765625
