,equity
1508,200000.0
1509,199997.72654003906
1510,199995.55318242032
1511,200106.10863149268
1512,200240.31154136575
1513,200212.70560587337
1514,200473.2123858581
1515,199822.07578357807
1516,199943.6740415222
1517,199543.70959565148
1518,199140.07671032904
1519,199635.63577024083
1520,197978.8487808631
1521,198073.67346544564
1522,198142.20734925114
1523,198116.12323884614
1524,198109.73681712316
1525,198159.56113758267
1526,197927.5931953972
1527,198005.35039676036
1528,198126.7461535079
1529,198024.6460698809
1530,197776.90946169922
1531,197966.56167785465
1532,198017.81189182858
1533,197065.24880308128
1534,197682.59383713795
1535,197702.0709384392
1536,196669.08101808286
1537,196631.61710855045
1538,195689.6151726069
1539,194587.1028379261
1540,194902.3708559772
1541,193991.82367389672
1542,194304.80499857027
1543,194057.15368886758
1544,193700.24498809507
1545,193394.78694493684
1546,192399.15781074742
1547,193122.52547106685
1548,193188.79468819432
1549,194074.29378961097
1550,191631.3871066496
1551,191717.76357212488
1552,192105.0909995915
1553,191973.61011616112
1554,192050.7920843738
1555,194346.1558838813
1556,193351.40150088008
1557,195192.61576473294
1558,195594.19311353864
1559,195787.89109353375
1560,196502.6929868227
1561,195742.62564267137
1562,196712.39476559887
1563,196527.28292721894
1564,199094.98945104273
1565,198710.37492998986
1566,197902.40868520134
1567,201211.32988616082
1568,195466.80497846424
1569,197539.82570013378
1570,194609.95597316083
1571,193434.51818694992
1572,195081.5830150377
1573,194283.83652677148
1574,190692.34946580284
1575,191941.6861835252
1576,192262.96715099242
1577,193332.71921694317
1578,193761.75657949547
1579,194348.65736662797
1580,195176.14312794825
1581,194759.40872601324
1582,195528.70962959965
1583,195862.54029018056
1584,196361.91272307592
1585,196419.38779093014
1586,197891.9054918398
1587,195584.00850958738
1588,194712.41273401486
1589,195161.35662849608
1590,199063.2908070725
1591,197937.32826770633
1592,200790.53372413837
1593,201814.70296534244
1594,202365.943142659
1595,202526.59054612616
1596,198581.98875697973
1597,197876.68200551643
1598,192417.71893394573
1599,192435.72566030824
1600,192798.77873918737
1601,191582.4829612901
1602,194269.09855949684
1603,196048.8982807587
1604,197450.90103234092
1605,197338.46903631266
1606,197076.1066647627
1607,196488.34284601387
1608,193684.23244024423
1609,192755.39952715105
1610,193707.2033432605
1611,188581.49815197967
1612,190725.99460102367
1613,194832.74209886626
1614,195429.60104290533
1615,196425.2095636946
1616,195506.45810484758
1617,193812.44620065117
1618,191207.85206948788
1619,191571.62329716928
1620,190668.36970946615
1621,185255.39484446603
1622,185696.47115308198
1623,186720.84840467843
1624,187890.29053018213
1625,184830.8261582831
1626,186669.2591484365
1627,184540.245434708
1628,182895.85076335294
1629,184234.16151044235
1630,185500.40038007888
1631,182389.5288767228
1632,182317.81542062096
1633,182184.8484214672
1634,183376.34315796825
1635,184929.70226146642
1636,184510.27091880317
1637,187448.69664846212
1638,185860.41609205326
1639,187260.5468877415
1640,189416.11788665634
1641,189225.79343501368
1642,186530.98891365793
1643,187278.26517246605
1644,184798.52478616498
1645,184235.58748279486
1646,184462.190283593
1647,182947.52483923262
1648,182700.1704959043
1649,182916.1096602368
1650,183770.27116267823
1651,183585.93874965198
1652,181866.03041708784
1653,180913.6232602505
1654,180698.4364323329
1655,180661.41167431106
1656,181107.77183361773
1657,180694.03055405887
1658,180633.24288129545
1659,180481.36028308753
1660,180611.51520610228
1661,180519.94393324375
1662,180538.5410203006
1663,181241.7768286826
1664,181521.34312952068
1665,181781.32970252977
1666,180741.17283235313
1667,180334.50725814817
1668,181284.86715432655
1669,179631.3259898677
1670,180003.6630044111
1671,179754.59606355938
1672,180038.3411130672
1673,180089.59400648993
1674,180215.10761709732
1675,180024.47570524827
1676,180913.9053559929
1677,181266.07122638004
1678,178779.26203869827
1679,177274.65558082433
1680,178184.70052688694
1681,178287.86689273125
1682,180305.30900827766
1683,181135.1925970171
1684,180735.87586424558
1685,181872.16407252944
1686,182410.2715309826
1687,181559.40663732827
1688,183358.37757090374
1689,181247.59206436705
1690,180640.9589211944
1691,182825.9804666052
1692,185539.76570744783
1693,185550.5547281819
1694,186787.05933097616
1695,185747.06506174832
1696,184506.09143996824
1697,185360.89146901108
1698,191392.87130562056
1699,193170.23337032177
1700,191229.4562211624
1701,189565.023112286
1702,189484.15605108178
1703,188695.71449009716
1704,193555.90946858437
1705,196027.683644206
1706,197917.89829898142
1707,196080.4531894921
1708,197603.2103907226
1709,197633.90377512958
1710,196394.34649178665
1711,202597.64270969844
1712,203053.71827758115
1713,201505.11746292535
1714,205001.18942051585
1715,202107.13840828545
1716,203514.63382294885
1717,203486.4710445941
1718,200015.7738168765
1719,199562.17807809825
1720,197954.9294932619
1721,206555.2585174889
1722,209243.853554677
1723,210920.12507394876
