bundle,span_short,span_long,vol_window,cap,tau,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,80,32,20,0.2,1.0,5.0,1.0,167886.83433532715,0.7137855815058809,0.0,1.1532179693204507,100000.0,267886.83433532715
2,10,80,32,20,0.2,1.0,5.0,1.0,177294.07384872437,0.7381348733510379,0.0,1.143578811518315,100000.0,277294.0738487241
3,10,80,32,20,0.2,1.0,5.0,1.0,112721.87294006336,0.5039456698904802,0.0,1.0965236716928777,100000.0,212721.8729400633
4,10,50,32,20,0.2,1.0,5.0,1.0,-15599.934883117712,-0.09184648386406372,0.0,0.9818796105716929,100000.0,84400.06511688228
5,10,50,32,20,0.2,1.0,5.0,1.0,27158.218688964822,0.15242363971239334,0.0,1.0354107964416646,100000.0,127158.2186889648
6,10,80,32,20,0.2,1.0,5.0,1.0,131592.06817626953,0.6367069708217098,0.0,1.1379519805185536,100000.0,231592.06817626947
7,10,80,32,20,0.2,1.0,5.0,1.0,57844.677429199204,0.28852003445787344,0.0,1.059342808952716,100000.0,157844.67742919922
8,20,80,32,20,0.2,1.0,5.0,1.0,29659.84130859374,0.16673698782554178,0.0,1.035689106823527,100000.0,129659.84130859375
9,20,80,32,20,0.2,1.0,5.0,1.0,8681.087646484375,0.04616179667179497,0.0,1.0100291367943965,100000.0,108681.08764648438
10,20,80,32,20,0.2,1.0,5.0,1.0,24061.3720703125,0.11260256688199721,0.0,1.0243849229984292,100000.0,124061.3720703125
