bundle,span_short,span_long,vol_window,forecast_scale,cap,tau,idm,multiplier,fx,capital,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,2666.4471435546875,0.3420149918905776,0.0,1.0768821268673257,100000.0,102666.44714355469
2,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,-1273.9996337890632,-0.21983201982597633,0.0,0.9554514304251739,100000.0,98726.00036621094
3,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,158.4487915039042,0.020888484047452457,0.0,1.0042935775149164,100000.0,100158.4487915039
4,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,939.248046875,0.1283026973753255,0.0,1.028628679296447,100000.0,100939.248046875
5,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,3152.093505859375,0.4007968700819639,0.0,1.0838829111578132,100000.0,103152.09350585938
6,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,-6521.9525146484375,-0.9106033770847682,0.0,0.8298105644427721,100000.0,93478.04748535156
7,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,-4999.600830078125,-1.1069374487134624,0.0,0.7869980699059396,100000.0,95000.39916992188
8,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,11473.359375,1.260527361000107,0.0,1.3175586566021589,100000.0,111473.359375
9,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,-3985.04638671875,-0.5776040669243685,0.0,0.8779678186871415,100000.0,96014.95361328125
10,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,6177.6025390625,0.6457689375121525,0.0,1.1615329616242505,100000.0,106177.6025390625
