bundle,span_short,span_long,vol_window,cap,idm,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,20,50,32,20,1.0,-184.00048828125,-0.2558677475118716,0.0,0.9429136831402117,100000.0,99815.99951171875
2,16,80,32,20,1.0,-35.89990234375,-0.05626615137582033,0.0,0.9729322870915986,100000.0,99964.10009765625
3,16,80,32,20,1.0,-108.1005859375,-0.1502077216278313,0.0,0.9575477034647931,100000.0,99891.8994140625
4,16,50,32,20,1.0,-787.30078125,-0.9449010424846259,0.0,0.7497772674530213,100000.0,99212.69921875
5,10,80,32,20,1.0,-187.60009765625,-0.23617371078352323,0.0,0.937543657504409,100000.0,99812.39990234375
6,10,80,32,20,1.0,-1792.80126953125,-2.2537480116848063,0.0,0.5562922774713306,100000.0,98207.19873046875
7,10,80,32,20,1.0,-681.89990234375,-0.6927577666942266,0.0,0.7936949920921862,100000.0,99318.10009765625
8,20,80,32,20,1.0,-694.30126953125,-0.9135425103620591,0.0,0.7849660147676141,100000.0,99305.69873046875
9,20,80,32,20,1.0,-78.0,-0.08549411688834212,0.0,0.9783903470823235,100000.0,99922.0
10,16,64,32,20,1.0,-5.099609375,-0.005908124649783406,0.0,0.9968864950979588,100000.0,99994.900390625
