date,equity,drawdown,delta_pos,cost_usd,cost_pct,slip_cost,pnl,sample,bundle
2005-12-21,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2005-12-22,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2005-12-23,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2005-12-27,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2005-12-28,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2005-12-29,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2005-12-30,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-01-02,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-01-03,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-01-04,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-01-05,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-01-06,99997.71455004883,2.2854499511740867e-05,1.0,0.0,0.0,0.0,-2.2854499511726356,OOS,1
2006-01-09,100021.21545337341,0.0,1.0,0.0,0.0,0.0,23.501440438256083,OOS,1
2006-01-10,100018.91552614614,2.2994393907800364e-05,1.0,0.0,0.0,0.0,-2.2994393907793675,OOS,1
2006-01-11,100039.06809678505,0.0,1.0,0.0,0.0,0.0,20.148759395044458,OOS,1
2006-01-12,99957.89984863969,0.0008113654963961959,1.0,0.0,0.0,0.0,-81.13654963961548,OOS,1
2006-01-13,99973.40565590703,0.0006563679783031601,1.0,0.0,0.0,0.0,15.512337985112978,OOS,1
2006-01-16,99973.40565590703,0.0006563679783031601,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-01-17,99926.59385369255,0.001124303187067681,1.0,0.0,0.0,0.0,-46.824254817917634,OOS,1
2006-01-18,99876.55707363386,0.0016244755798201615,1.0,0.0,0.0,0.0,-50.07353711261597,OOS,1
2006-01-19,99947.74489240232,0.0009128754007821973,1.0,0.0,0.0,0.0,71.27580370636099,OOS,1
2006-01-20,99709.85818818647,0.003290813427810836,1.0,0.0,0.0,0.0,-238.01107716033277,OOS,1
2006-01-23,99721.54195474338,0.0031740213906677616,1.0,0.0,0.0,0.0,11.717764691709931,OOS,1
2006-01-24,99734.5115013481,0.0030443765743829406,0.0,0.0,0.0,0.0,13.005762195894555,OOS,1
2006-01-25,99734.5115013481,0.0030443765743829406,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-01-26,99734.5115013481,0.0030443765743829406,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-01-27,99734.5115013481,0.0030443765743829406,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-01-30,99732.22021120007,0.0030672805277245853,1.0,0.0,0.0,0.0,-2.2973894527877903,OOS,1
2006-01-31,99706.6014915442,0.0033233676759082823,1.0,0.0,0.0,0.0,-25.6875056041328,OOS,1
2006-02-01,99718.53662326909,0.0032040629687379468,1.0,0.0,0.0,0.0,11.970252266491066,OOS,1
2006-02-02,99660.27221538646,0.0037864795085067677,1.0,0.0,0.0,0.0,-58.428863735487944,OOS,1
2006-02-03,99623.83442644644,0.004150715097994344,0.0,0.0,0.0,0.0,-36.56200021336375,OOS,1
2006-02-06,99623.83442644644,0.004150715097994344,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-02-07,99623.83442644644,0.004150715097994344,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-02-08,99621.5602033684,0.004173448447287862,1.0,0.0,0.0,0.0,-2.282810224213394,OOS,1
2006-02-09,99630.94577283626,0.004079629405923104,1.0,0.0,0.0,0.0,9.421223125505307,OOS,1
2006-02-10,99614.83638663271,0.00424066035623107,1.0,0.0,0.0,0.0,-16.169058798543023,OOS,1
2006-02-13,99635.56642230236,0.004033440956210322,1.0,0.0,0.0,0.0,20.810188945363794,OOS,1
2006-02-14,99571.98397263086,0.004669017145404653,1.0,0.0,0.0,0.0,-63.81501300652403,OOS,1
2006-02-15,99547.24803540102,0.004916279916844172,0.0,0.0,0.0,0.0,-24.842266110342017,OOS,1
2006-02-16,99547.24803540102,0.004916279916844172,0.0,0.0,0.0,0.0,0.0,OOS,1
2006-02-17,99538.185659751,0.005006868282194057,1.0,0.0,0.0,0.0,-9.103592343201461,OOS,1
2006-02-20,99530.57102290365,0.005082984913348492,1.0,0.0,0.0,0.0,-7.649965484995969,OOS,1
2006-02-21,99544.72087188973,0.004941541682665928,1.0,0.0,0.0,0.0,14.21658575918583,OOS,1
2006-02-22,99896.74567307698,0.0014226684276024955,1.0,0.0,0.0,0.0,353.6348267431211,OOS,1
2006-02-23,99851.41674174197,0.0018757807186042077,1.0,0.0,0.0,0.0,-45.37578379514851,OOS,1
2006-02-24,99921.43622378609,0.001175859344122962,1.0,0.0,0.0,0.0,70.12367408386622,OOS,1
2006-02-27,100188.71851212574,0.0,1.0,0.0,0.0,0.0,267.492440501993,OOS,1
2006-02-28,99463.08394998018,0.0072426773485253435,1.0,0.0,0.0,0.0,-724.267734852535,OOS,1
2006-03-01,99920.43300273869,0.0026778015865586246,1.0,0.0,0.0,0.0,459.8178888043702,OOS,1
2006-03-02,99486.87874017417,0.007005177652478112,1.0,0.0,0.0,0.0,-433.8995033704718,OOS,1
2006-03-03,99152.03607734943,0.010347297082663399,1.0,0.0,0.0,0.0,-336.5696733729551,OOS,1
2006-03-06,99059.97678121856,0.011266155987119096,1.0,0.0,0.0,0.0,-92.84660181768656,OOS,1
2006-03-07,99048.05515541097,0.011385147685831636,1.0,0.0,0.0,0.0,-12.034755301765232,OOS,1
2006-03-08,99061.03005323806,0.011255643106675609,1.0,0.0,0.0,0.0,13.099598782384536,OOS,1
2006-03-09,99029.77379803298,0.011567616906413326,1.0,0.0,0.0,0.0,-31.552523922145916,OOS,1
2006-03-10,99075.82157206483,0.011108006535947589,1.0,0.0,0.0,0.0,46.49891872495759,OOS,1
2006-03-13,99089.39380670698,0.010972539840258583,1.0,0.0,0.0,0.0,13.69883633242086,OOS,1
2006-03-14,99149.38407107616,0.010373767191400774,1.0,0.0,0.0,0.0,60.54155956002339,OOS,1
2006-03-15,99312.70453631866,0.0087436388928465,1.0,0.0,0.0,0.0,164.7216135255425,OOS,1
2006-03-16,99332.40461236284,0.008547009209018484,1.0,0.0,0.0,0.0,19.836410795714965,OOS,1
2006-03-17,99272.39534214158,0.009145971558397113,1.0,0.0,0.0,0.0,-60.41258183110409,OOS,1
2006-03-20,99341.80953215681,0.008453137165003503,1.0,0.0,0.0,0.0,69.92295267579385,OOS,1
2006-03-21,99269.07793893624,0.009179083102836463,1.0,0.0,0.0,0.0,-73.21347734964844,OOS,1
2006-03-22,99486.23078756781,0.007011644973509717,1.0,0.0,0.0,0.0,218.75175345653642,OOS,1
2006-03-23,99492.33217001332,0.006950746076546818,1.0,0.0,0.0,0.0,6.132891353105574,OOS,1
2006-03-24,99647.57301750535,0.005401261765364273,1.0,0.0,0.0,0.0,156.0329767189894,OOS,1
2006-03-27,99318.01383046132,0.008690645958896398,1.0,0.0,0.0,0.0,-330.7247503018973,OOS,1
2006-03-28,99042.05977002102,0.011444988608831605,1.0,0.0,0.0,0.0,-277.8489518642235,OOS,1
2006-03-29,99356.30301453058,0.008308475344900304,1.0,0.0,0.0,0.0,317.28262239220095,OOS,1
2006-03-30,99649.33766480928,0.005383648531757324,1.0,0.0,0.0,0.0,294.9331259193999,OOS,1
2006-03-31,99470.91194198292,0.007164544878932031,1.0,0.0,0.0,0.0,-179.05359634856066,OOS,1
2006-04-03,99795.69752661645,0.003922806792480499,1.0,0.0,0.0,0.0,326.5131265941967,OOS,1
2006-04-04,99865.8333251554,0.003222769906286977,1.0,0.0,0.0,0.0,70.27938105272358,OOS,1
2006-04-05,100055.48255425216,0.0013298499057800835,1.0,0.0,0.0,0.0,189.90401700176295,OOS,1
2006-04-06,100015.56881265965,0.0017282354943498812,1.0,0.0,0.0,0.0,-39.891608709063945,OOS,1
2006-04-07,99353.34294563808,0.00833802027706889,1.0,0.0,0.0,0.0,-662.122782365987,OOS,1
2006-04-10,99624.25630916771,0.005633989648142912,1.0,0.0,0.0,0.0,272.67664629851976,OOS,1
2006-04-11,99001.78960339268,0.011846931734029531,1.0,0.0,0.0,0.0,-624.8144064868067,OOS,1
2006-04-12,98986.9945041652,0.01199460404132324,1.0,0.0,0.0,0.0,-14.944274529549162,OOS,1
2006-04-13,99083.18290828369,0.011034531834123035,1.0,0.0,0.0,0.0,97.17276961516141,OOS,1
2006-04-17,99045.04309048265,0.01141521159894532,1.0,0.0,0.0,0.0,-38.492725689243116,OOS,1
