bundle,horizon,cap,vol_window,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,75,20,32,188.6895751953125,0.2624861883988693,0.0,1.0632468688658112,100000.0,100188.68957519531
2,40,20,32,-252.509765625,-0.33973690303717224,0.0,0.9334377746999831,100000.0,99747.490234375
3,80,20,32,422.9898681640625,0.6982050489068536,0.0,1.151134661528489,100000.0,100422.98986816406
4,80,20,32,198.23974609375,0.28439326660701364,0.0,1.0700875207114626,100000.0,100198.23974609375
5,50,20,32,245.239990234375,0.3295080206029055,0.0,1.0732055270918854,100000.0,100245.23999023438
6,75,20,32,469.9901123046875,0.7684375558562138,0.0,1.1642402767586058,100000.0,100469.99011230469
7,80,20,32,-1158.9193115234375,-1.5134279473926204,0.0,0.6711036083529768,100000.0,98841.08068847656
8,50,20,32,969.02978515625,1.3204595358230107,0.0,1.3588425209400732,100000.0,100969.02978515625
9,75,20,32,-448.66943359375,-0.5468799209619392,0.0,0.8577936617952178,100000.0,99551.33056640625
10,80,20,32,699.93994140625,0.8595460650030298,0.0,1.2501553789112054,100000.0,100699.93994140625
