name,cagr,total_return,mean_annual_return,annualised_return_log,annual_vol,sharpe,sortino,skew,max_drawdown,avg_drawdown,avg_dd_duration,profit_factor,expectancy,win_rate,std_daily,ret_5pct,ret_95pct,avg_win,avg_loss,max_loss_pct,avg_30d_ret,avg_30d_ret_plus_2std,avg_30d_ret_minus_2std,avg_30d_ret_ci_low,avg_30d_ret_ci_high,avg_cost_pct,cost_sharp
SP500 (ewmac),-0.05422715326951356,0.24507956037597656,0.0026738089204641083,-0.05417706865298098,0.3524168234486388,0.02292824951341183,0.02198848972038871,-1.6937144539400413,0.6417117248169957,0.15331998611562017,30.07547169811321,0.9503092496295923,-24.18270345803968,0.30434782608695654,0.022200173159058437,-0.03143903420734567,0.033184926011224136,0.015276345729001701,-0.016424245706123605,-0.27855466116026584,0.001137178005199298,0.19877243416371648,-0.19649807815331788,-0.016900595134300724,0.01917495114469932,0.0026992493063590826,0.0482527863729798
SP500 (trend_breakout),-0.01027724269229526,0.46826492070312487,0.040742474273561285,-0.01026753150201339,0.31942370132423814,0.1328961027776872,0.1243048499042168,-2.1109400591581062,0.667506287836511,0.1598591887835934,20.78102189781022,1.353094570523867,201.20954736137386,0.34375,0.02012180182294541,-0.030101975253311097,0.028767982706866424,0.014581554951017182,-0.015825267387687504,-0.28850413840244726,0.005076768282818632,0.19553308096615568,-0.1853795444005184,-0.012291500947406234,0.022445037513043498,0.0027496945926536896,0.027608107255157527
DAX (ewmac),0.0039052635839900494,0.08664176759111952,0.02221094355925357,0.00390909153418826,0.30731171728798695,0.1666945823655353,0.18858619737719293,-0.07314411070457429,0.4200779171903086,0.14719290705076954,29.818181818181817,1.1313080323215552,53.33408203154009,0.3275862068965517,0.0193588185457191,-0.029538827277182822,0.02992360687113149,0.015432903191881025,-0.015250373598025047,-0.15624415095900301,0.0052215558300908824,0.1844294517940279,-0.17398634013384615,-0.011058584716541779,0.021501696376723542,0.0005955098137968665,0.03306772077314646
DAX (trend_breakout),-0.029802355908837074,-0.31352987065057336,-0.0036436395979293932,-0.029831072092445624,0.27529697826664346,0.029157962145712746,0.03168664325892975,-0.5725410711255006,0.5207570196339807,0.16055307204309474,24.912,0.9233359367997782,-26.9231321499018,0.3125,0.01734207955193076,-0.02762094170383493,0.02736343747240925,0.013729078179012122,-0.014343471041946537,-0.14585657879515146,0.0009114360602281482,0.1747755403524542,-0.17295266823199792,-0.014867978676697794,0.01669085079715409,0.0005816639709658364,0.03540910442497053
FTSE (ewmac),-0.16361353352617813,-0.2408582371209299,-0.21186863387258845,-0.16370903551148955,13.540203514809315,0.13168990225706667,0.19411231103776702,34.85846304883537,1.1388848512712835,0.23528089440886785,53.857142857142854,0.3418503516059823,-396.29614296828635,0.2054794520547945,0.8529526476520981,-0.043388513257412525,0.03718536478049374,0.06512810449649145,-0.043347486218779395,-21.9481006409918,-0.03138683571730534,1.6572796471345796,-1.7200533185691902,-0.1852365371576129,0.1224628657230022,0.000770768511870265,-0.37774894419571886
FTSE (trend_breakout),-0.23983780635527943,-0.8958346157505639,-0.15904022531007303,-0.23969511376944103,0.37715540286672244,-0.532416002087315,-0.5294598882076311,-0.9816328290355685,0.9010418173017953,0.2155915225772294,41.436619718309856,0.21814537438250794,-652.6217169538247,0.17647058823529413,0.02375855718118392,-0.03602105890634552,0.03060139737485987,0.016444534799026272,-0.019088988229495483,-0.33289963398542577,-0.025455122740209158,0.18578179381702478,-0.23669203929744312,-0.04413521749125089,-0.0067750279891674245,0.0007647987857641232,0.02262246174788929
NASDAQ (ewmac),-0.051898519375779044,0.5823345366015624,-0.007158858431467981,-0.051850526049390826,0.3136761054367025,-0.0107863470819183,-0.01101251495071843,-1.173022495965903,0.6743090433668648,0.1473361291159461,28.918181818181818,0.9652207415946767,-15.301361228515603,0.28,0.01975973731449501,-0.03138966950191349,0.02883103198390835,0.012963950309361245,-0.01489784627794498,-0.1860093283627009,-0.000435432269350917,0.18085260454941168,-0.18172346908811352,-0.016973694140260114,0.01610282960155828,0.0010409000144662743,0.09301008649099604
NASDAQ (trend_breakout),-0.024820963744079223,0.5191876373437501,0.014572602458288064,-0.02479768318290309,0.29483383445978345,0.06438792295849687,0.0666234299440596,-1.2025599408769527,0.6394214770523855,0.14629011370403533,27.357142857142858,1.151691477752805,61.7546545107422,0.3,0.018572785811146963,-0.030304033443219885,0.028250745607030392,0.013035708343937386,-0.014236837923572401,-0.19166792035159552,0.0027100861034570225,0.18026982097307315,-0.1748496487661591,-0.013479552389500321,0.018899724596414366,0.001147676687127166,0.06762173353361763
DJ30 (ewmac),-0.06644146230452529,-0.26100863421875,0.004766002999400524,-0.06638049773901322,0.395334558309821,0.02544491619420318,0.023950885481018532,0.17903152346514128,0.8027148445312499,0.18629695100889168,28.18918918918919,1.011327840376955,6.297178413982728,0.20408163265306123,0.02490373633231785,-0.03479955736940979,0.034494921410220425,0.017984633992816135,-0.019565931368352812,-0.32716536310395783,-0.0010125141130690447,0.21727153882019826,-0.21929656704633635,-0.02093873292486402,0.018913704698725928,0.0003896190060054007,0.030941959414415722
DJ30 (trend_breakout),-0.05624067221943612,-0.1708224223437501,0.006581992654873055,-0.056188783695682365,0.34059766497195465,0.0028437642188702214,0.0027729256374715524,-0.9865336259982014,0.7009410132960833,0.1856559134314437,28.38532110091743,1.0011998660440036,0.6412857460172031,0.23529411764705882,0.02145563615821636,-0.035346695315579824,0.032258027514787346,0.016574769332562626,-0.018049520334303647,-0.207798299582018,0.00028879473050988564,0.21185081723491583,-0.21127322777389607,-0.019022712466491096,0.01960030192751087,0.0003879567323026154,0.03391030813706924
