instrument,symbol,strategy,idm
SP500|ewmac,SP500,ewmac,1.2790958200005023
SP500|trend_breakout,SP500,trend_breakout,1.2790958200005023
DAX|ewmac,DAX,ewmac,1.2790958200005023
DAX|trend_breakout,DAX,trend_breakout,1.2790958200005023
FTSE|ewmac,FTSE,ewmac,1.2790958200005023
FTSE|trend_breakout,FTSE,trend_breakout,1.2790958200005023
NASDAQ|ewmac,NASDAQ,ewmac,1.2790958200005023
NASDAQ|trend_breakout,NASDAQ,trend_breakout,1.2790958200005023
DJ30|ewmac,DJ30,ewmac,1.2790958200005023
DJ30|trend_breakout,DJ30,trend_breakout,1.2790958200005023
