instrument,symbol,strategy,weight
SP500|ewmac,SP500,ewmac,0.1
SP500|trend_breakout,SP500,trend_breakout,0.1
DAX|ewmac,DAX,ewmac,0.1
DAX|trend_breakout,DAX,trend_breakout,0.1
FTSE|ewmac,FTSE,ewmac,0.1
FTSE|trend_breakout,FTSE,trend_breakout,0.1
NASDAQ|ewmac,NASDAQ,ewmac,0.1
NASDAQ|trend_breakout,NASDAQ,trend_breakout,0.1
DJ30|ewmac,DJ30,ewmac,0.1
DJ30|trend_breakout,DJ30,trend_breakout,0.1
