Date,Open,High,Low,Close,Tickvol,Volume,Spread
2010-01-03 00:00:00,1113.5,1116.25,1112.9,1114.6,976,0,0
2010-01-04 00:00:00,1115.25,1129.5,1113.6,1127.9,7890,0,0
2010-01-04 20:00:00,1128.0,1128.25,1127.0,1127.5,3460,0,0
2010-01-05 00:00:00,1127.25,1132.75,1124.7,1130.6,9065,0,0
2010-01-05 20:00:00,1131.25,1131.25,1130.5,1131.25,3602,0,0
2010-01-06 00:00:00,1131.5,1135.0,1126.9,1131.9,8515,0,0
2010-01-06 20:00:00,1132.5,1133.75,1132.0,1133.25,3622,0,0
2010-01-07 00:00:00,1133.0,1138.5,1126.6,1136.9,9818,0,0
2010-01-07 20:00:00,1137.0,1137.75,1137.0,1137.75,3845,0,0
2010-01-08 00:00:00,1138.0,1141.5,1130.4,1141.2,9544,0,0
2010-01-10 00:00:00,1141.0,1146.0,1140.4,1145.1,802,0,0
2010-01-11 00:00:00,1145.25,1147.75,1137.5,1139.1,8092,0,0
2010-01-11 20:00:00,1140.0,1141.75,1139.5,1141.75,5646,0,0
2010-01-12 00:00:00,1141.5,1142.75,1127.5,1133.6,13557,0,0
2010-01-12 20:00:00,1133.75,1136.25,1133.75,1135.25,4754,0,0
2010-01-13 00:00:00,1135.5,1144.7,1129.0,1141.4,12097,0,0
2010-01-13 20:00:00,1141.75,1141.75,1141.25,1141.5,4596,0,0
2010-01-14 00:00:00,1141.75,1146.75,1137.9,1144.4,11349,0,0
2010-01-15 00:00:00,1145.0,1145.75,1127.2,1131.6,10196,0,0
2010-01-17 00:00:00,1131.0,1131.75,1129.4,1130.8,901,0,0
2010-01-17 20:00:00,1131.0,1131.5,1129.5,1130.5,2091,0,0
2010-01-18 00:00:00,1131.0,1137.5,1129.1,1136.6,4830,0,0
2010-01-19 00:00:00,1136.75,1146.75,1125.9,1143.9,11861,0,0
2010-01-20 00:00:00,1144.25,1146.25,1125.0,1135.1,14051,0,0
2010-01-21 00:00:00,1135.25,1139.0,1108.1,1109.9,25056,0,0
2010-01-22 00:00:00,1110.0,1115.5,1086.0,1091.0,22892,0,0
2010-01-24 00:00:00,1093.5,1096.75,1093.1,1095.9,890,0,0
2010-01-25 00:00:00,1096.25,1102.75,1089.5,1092.4,19260,0,0
2010-01-25 20:00:00,1092.25,1092.75,1092.25,1092.5,8768,0,0
2010-01-26 00:00:00,1092.5,1099.75,1080.6,1089.6,26376,0,0
2010-01-27 00:00:00,1089.75,1097.1,1078.2,1095.9,26525,0,0
2010-01-28 00:00:00,1096.0,1103.25,1074.0,1077.1,20764,0,0
2010-01-29 00:00:00,1077.75,1093.0,1066.2,1068.5,25574,0,0
2010-01-31 00:00:00,1070.0,1072.25,1067.6,1071.1,1904,0,0
2010-02-01 00:00:00,1071.25,1086.5,1068.1,1085.6,17918,0,0
2010-02-02 00:00:00,1085.75,1101.0,1081.6,1097.9,17410,0,0
2010-02-02 20:00:00,1098.5,1098.75,1098.25,1098.25,6323,0,0
2010-02-03 00:00:00,1098.0,1100.0,1090.2,1096.6,16435,0,0
2010-02-04 00:00:00,1095.5,1096.9,1059.0,1062.9,21716,0,0
2010-02-05 00:00:00,1062.25,1064.75,1040.5,1059.5,25866,0,0
2010-02-07 00:00:00,1061.75,1062.25,1057.6,1059.4,1802,0,0
2010-02-08 00:00:00,1061.25,1068.25,1052.7,1054.9,20925,0,0
2010-02-08 20:00:00,1054.5,1057.0,1054.5,1055.5,9483,0,0
2010-02-09 00:00:00,1055.75,1076.75,1053.9,1066.9,26703,0,0
2010-02-09 20:00:00,1067.25,1068.25,1066.25,1067.75,9540,0,0
2010-02-10 00:00:00,1068.0,1072.25,1056.0,1064.1,24661,0,0
2010-02-11 00:00:00,1067.25,1079.5,1057.2,1076.4,23843,0,0
2010-02-12 00:00:00,1075.75,1079.25,1059.9,1078.7,24143,0,0
2010-02-14 00:00:00,1077.5,1077.75,1074.6,1076.1,678,0,0
2010-02-15 00:00:00,1075.5,1078.75,1073.1,1075.1,6567,0,0
2010-02-15 20:00:00,1076.25,1077.0,1075.25,1077.0,5531,0,0
2010-02-16 00:00:00,1076.75,1093.9,1074.9,1093.9,12466,0,0
2010-02-17 00:00:00,1094.25,1099.75,1092.1,1098.1,15479,0,0
2010-02-18 00:00:00,1097.0,1106.5,1092.6,1094.6,11143,0,0
2010-02-19 00:00:00,1094.75,1110.75,1092.1,1105.7,14533,0,0
2010-02-21 00:00:00,1106.0,1108.0,1105.75,1108.0,415,0,0
2010-02-22 00:00:00,1108.0,1112.5,1103.2,1106.6,10916,0,0
2010-02-23 00:00:00,1107.0,1112.5,1090.0,1095.4,10561,0,0
2010-02-24 00:00:00,1095.5,1104.75,1092.1,1102.6,13502,0,0
2010-02-25 00:00:00,1102.75,1103.25,1084.5,1102.8,15312,0,0
