Date,Open,High,Low,Close,Tickvol,Volume,Spread
2010-01-04 00:00:00,1.43259,1.43336,1.42569,1.42939,6693,0,12
2010-01-04 04:00:00,1.42938,1.4309,1.42718,1.42949,4999,0,10
2010-01-04 08:00:00,1.42946,1.43994,1.42688,1.43778,10386,0,11
2010-01-04 12:00:00,1.43781,1.44498,1.43768,1.44266,9946,0,12
2010-01-04 16:00:00,1.44262,1.44543,1.4403,1.4412,8987,0,11
2010-01-04 20:00:00,1.44121,1.44263,1.44029,1.44111,4494,0,12
2010-01-05 00:00:00,1.44107,1.44391,1.44056,1.44142,5526,0,12
2010-01-05 04:00:00,1.44139,1.44764,1.44123,1.44755,6876,0,13
2010-01-05 08:00:00,1.44749,1.4483,1.44042,1.44177,10651,0,10
2010-01-05 12:00:00,1.44176,1.4454,1.43875,1.44037,9921,0,11
2010-01-05 16:00:00,1.44031,1.44337,1.43467,1.43604,9721,0,11
2010-01-05 20:00:00,1.43598,1.43726,1.43487,1.43624,3991,0,13
2010-01-06 00:00:00,1.43632,1.437,1.43342,1.43565,6115,0,12
2010-01-06 04:00:00,1.43563,1.43628,1.42901,1.43121,5216,0,14
2010-01-06 08:00:00,1.4312,1.4382,1.42831,1.43788,10193,0,10
2010-01-06 12:00:00,1.43784,1.43784,1.43362,1.43514,8833,0,9
2010-01-06 16:00:00,1.43516,1.44155,1.43516,1.43978,8954,0,11
2010-01-06 20:00:00,1.43991,1.44338,1.43928,1.43998,6124,0,13
2010-01-07 00:00:00,1.44001,1.44456,1.43938,1.44019,5862,0,14
2010-01-07 04:00:00,1.44021,1.44156,1.43583,1.43639,5820,0,12
2010-01-07 08:00:00,1.43637,1.43989,1.43391,1.43491,9377,0,10
2010-01-07 12:00:00,1.43497,1.43515,1.42994,1.43196,10286,0,10
2010-01-07 16:00:00,1.43198,1.43329,1.43041,1.43085,8129,0,10
2010-01-07 20:00:00,1.43084,1.4327,1.43036,1.43041,4824,0,13
2010-01-08 00:00:00,1.43039,1.43266,1.43011,1.43084,5093,0,14
2010-01-08 04:00:00,1.43084,1.4318,1.42871,1.43109,4878,0,11
2010-01-08 08:00:00,1.43112,1.43344,1.4297,1.43015,7444,0,9
2010-01-08 12:00:00,1.43014,1.44144,1.42634,1.43553,12191,0,11
2010-01-08 16:00:00,1.43549,1.44263,1.43004,1.44263,4484,0,12
2010-01-08 20:00:00,1.44144,1.44146,1.44035,1.44085,335,0,15
2010-01-11 00:00:00,1.44125,1.45094,1.44121,1.45094,7296,0,14
2010-01-11 04:00:00,1.45095,1.45324,1.44883,1.44884,6578,0,12
2010-01-11 08:00:00,1.44883,1.45347,1.44787,1.45257,9464,0,9
2010-01-11 12:00:00,1.45253,1.45451,1.44956,1.45141,8921,0,9
2010-01-11 16:00:00,1.45137,1.45545,1.45006,1.45298,9292,0,10
2010-01-11 20:00:00,1.45297,1.45421,1.45009,1.4512,4276,0,12
2010-01-12 00:00:00,1.45128,1.45176,1.44537,1.44871,6667,0,15
2010-01-12 04:00:00,1.44876,1.45109,1.44715,1.44999,4880,0,10
2010-01-12 08:00:00,1.44998,1.45206,1.44682,1.45044,9625,0,9
2010-01-12 12:00:00,1.4504,1.4514,1.44622,1.45082,11676,0,9
2010-01-12 16:00:00,1.45083,1.45448,1.4483,1.44972,9362,0,9
2010-01-12 20:00:00,1.4497,1.44977,1.4482,1.4492,3993,0,12
2010-01-13 00:00:00,1.44918,1.44918,1.44561,1.44739,5335,0,13
2010-01-13 04:00:00,1.4474,1.45047,1.44653,1.45024,4842,0,12
2010-01-13 08:00:00,1.45025,1.45217,1.44632,1.45161,9445,0,9
2010-01-13 12:00:00,1.4516,1.45785,1.45126,1.45516,11285,0,9
2010-01-13 16:00:00,1.45517,1.45517,1.44727,1.45037,11690,0,9
2010-01-13 20:00:00,1.45042,1.45157,1.44965,1.45052,3924,0,12
2010-01-14 00:00:00,1.45105,1.45477,1.45081,1.45451,4751,0,12
2010-01-14 04:00:00,1.45449,1.45547,1.45279,1.45407,4493,0,10
2010-01-14 08:00:00,1.45404,1.45547,1.44958,1.4505,8457,0,9
2010-01-14 12:00:00,1.45049,1.45196,1.44645,1.44722,11553,0,9
2010-01-14 16:00:00,1.4472,1.45197,1.44478,1.45103,10882,0,8
2010-01-14 20:00:00,1.45104,1.45144,1.44918,1.44978,4036,0,12
2010-01-15 00:00:00,1.44978,1.45108,1.44096,1.44266,6602,0,13
2010-01-15 04:00:00,1.44265,1.44444,1.44064,1.44262,6479,0,10
2010-01-15 08:00:00,1.44261,1.44275,1.4383,1.439,9962,0,8
2010-01-15 12:00:00,1.43797,1.43977,1.43593,1.43843,10117,0,9
2010-01-15 16:00:00,1.43844,1.43865,1.43558,1.43759,9160,0,8
2010-01-15 20:00:00,1.43762,1.43912,1.43365,1.43857,4681,0,12
2010-01-18 00:00:00,1.4348,1.43748,1.43348,1.43559,5866,0,13
2010-01-18 04:00:00,1.43558,1.43931,1.43536,1.43856,5911,0,13
2010-01-18 08:00:00,1.43859,1.43905,1.43652,1.43782,7495,0,9
2010-01-18 12:00:00,1.43783,1.43915,1.43671,1.4388,5975,0,9
2010-01-18 16:00:00,1.43879,1.43995,1.43781,1.43926,4993,0,9
2010-01-18 20:00:00,1.43927,1.43935,1.43779,1.43872,2708,0,14
2010-01-19 00:00:00,1.43881,1.44131,1.43875,1.43888,5988,0,13
2010-01-19 04:00:00,1.43889,1.44075,1.43843,1.43933,5378,0,12
2010-01-19 08:00:00,1.43931,1.44111,1.43091,1.4311,10512,0,9
2010-01-19 12:00:00,1.43109,1.43177,1.42631,1.4292,13451,0,9
2010-01-19 16:00:00,1.42921,1.42979,1.42527,1.42904,9319,0,10
2010-01-19 20:00:00,1.42901,1.43046,1.42816,1.42869,4497,0,12
2010-01-20 00:00:00,1.42869,1.4289,1.41907,1.42188,9307,0,13
