bundle,span_short,span_long,vol_window,forecast_scale,cap,tau,idm,multiplier,fx,capital,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,11205.85205078125,1.112467459878836,0.0,1.25629105407437,100000.0,111205.85205078125
2,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,2954.853515625,0.2753900862313935,0.0,1.0783337258731227,100000.0,102954.853515625
3,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,1100.401611328125,0.1440068438658972,0.0,1.0320398273142204,100000.0,101100.40161132812
4,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,2731.4501953125,0.29843399166987206,0.0,1.0784673945343783,100000.0,102731.4501953125
5,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,304.6044921875,0.036529633041960635,0.0,1.0082707680526386,100000.0,100304.6044921875
6,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,-1996.29150390625,-0.2359188633228987,0.0,0.9428034674620972,100000.0,98003.70849609375
7,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,2545.9033203125,0.3206591837653634,0.0,1.119845548024552,100000.0,102545.9033203125
8,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,5508.4521484375,0.6230755989890919,0.0,1.1671081631598024,100000.0,105508.4521484375
9,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,-8432.20703125,-1.0173217478955388,0.0,0.7652854577550358,100000.0,91567.79296875
10,10,50,32,5.0,20,0.2,1.0,5.0,1.0,100000.0,-3960.9521484375,-0.5780385438058647,0.0,0.7976211087987091,100000.0,96039.0478515625
