bundle,span_short,span_long,vol_window,forecast_scale,cap,weight,tau,capital,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,12849.049682617188,0.32942653340777717,0.0,1.0738338816671704,100000.0,112849.04968261719
2,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,-3133.796081542968,-0.11014029174100085,0.0,0.9779509206560778,100000.0,96866.20391845703
3,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,-350.1638793945276,-0.009230967229806018,0.0,0.9981081537255893,100000.0,99649.83612060547
4,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,6620.4815673828125,0.18332279532389595,0.0,1.0411511866105574,100000.0,106620.48156738281
5,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,16160.363159179688,0.41058788366299126,0.0,1.0861150200250764,100000.0,116160.36315917969
6,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,-30880.411987304688,-0.8616240312323475,0.0,0.8386257814288771,100000.0,69119.58801269531
7,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,-25836.447143554688,-1.171242562253878,0.0,0.7818769450072033,100000.0,74163.55285644531
8,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,56639.427490234375,1.2418369995981402,0.0,1.3102895224287827,100000.0,156639.42749023438
9,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,-18967.078857421875,-0.5681306642168346,0.0,0.8826700148891694,100000.0,81032.92114257812
10,10,50,32,4.1,20,1.0,0.2,100000.0,1.0,5.0,1.0,29380.55908203125,0.6499780901641962,0.0,1.159450406682257,100000.0,129380.55908203125
