,cagr,annual_vol,sharpe,sortino,max_drawdown,profit_factor,expectancy,win_rate,std_daily
SP500,0.001951057066579498,0.0492801052777711,0.06424884714957808,0.06830149212685437,0.09561070333279516,1.0123477952962168,3.724823648351658,1.5008833922261484,0.0031043548368586654
Portfolio,0.0010946292992843887,0.025019966221701988,0.05624954487978459,0.05941650317156545,0.08780886269267935,1.0123477952962168,,,0.0015761097246157095
