date,equity_norm
2005-12-21,1.0
2005-12-22,1.0
2005-12-23,1.0
2005-12-27,1.0
2005-12-28,1.0
2005-12-29,1.0
2005-12-30,1.0
2006-01-02,1.0
2006-01-03,1.0
2006-01-04,1.0
2006-01-05,1.0
2006-01-06,1.0
2006-01-09,1.0
2006-01-10,1.0
2006-01-11,1.0
2006-01-12,1.0
2006-01-13,1.0
2006-01-16,1.0
2006-01-17,1.0
2006-01-18,1.0
2006-01-19,1.0
2006-01-20,1.0
2006-01-23,1.0
2006-01-24,1.0
2006-01-25,1.0
2006-01-26,1.0
2006-01-27,1.0
2006-01-30,1.0
2006-01-31,1.0
2006-02-01,1.0
2006-02-02,1.0
2006-02-03,0.9999291769637345
2006-02-06,1.000275853072453
2006-02-07,1.0004967689729671
2006-02-08,1.0002631006674774
2006-02-09,1.0030434312190055
2006-02-10,1.0015356453618987
2006-02-13,1.003496116484654
2006-02-14,1.0037251125975295
2006-02-15,1.0037712402678274
2006-02-16,1.0047659299055722
2006-02-17,1.0056358393688172
2006-02-20,1.0053929323325208
2006-02-21,1.0062810714480042
2006-02-22,1.0162155365024519
2006-02-23,1.0153007931621085
2006-02-24,1.0174583095798306
2006-02-27,1.0247609554529427
2006-02-28,1.004918315445747
2006-03-01,1.0160705725365422
2006-03-02,1.0038045428350768
2006-03-03,0.9961413632113919
2006-03-06,0.9991616112186307
2006-03-07,0.9971662302125095
2006-03-08,0.9895393888691578
2006-03-09,0.9951978335801597
2006-03-10,1.0030442503124932
2006-03-13,1.008101039295277
2006-03-14,1.0110882224342779
2006-03-15,1.0152839724100573
2006-03-16,1.0155380630216981
2006-03-17,1.0137363102129529
2006-03-20,1.015984304663348
2006-03-21,1.0158189641997435
2006-03-22,1.0209827235193454
2006-03-23,1.0224436134502228
2006-03-24,1.0268131264909466
2006-03-27,1.016905091139121
2006-03-28,1.0110137342349415
2006-03-29,1.0176888439684948
2006-03-30,1.027876386456674
2006-03-31,1.0240401438945863
2006-04-03,1.0334389750764255
2006-04-04,1.0342493429468298
2006-04-05,1.0383904367131163
2006-04-06,1.0379590648221404
2006-04-07,1.0208588627782809
2006-04-10,1.0291432128593536
2006-04-11,1.011064932836215
2006-04-12,1.0104903211835037
2006-04-13,1.0130243098634373
2006-04-17,1.0120768000978122
2006-04-18,1.0151436934188531
2006-04-19,1.028088618734373
2006-04-20,1.0377577303163805
2006-04-21,1.0423776692516191
2006-04-24,1.0365038713715045
2006-04-25,1.030015867137606
2006-04-26,1.0382547245559048
2006-04-27,1.0351510563036934
2006-04-28,1.0242040847887313
2006-05-01,1.0185130386461532
2006-05-02,1.0342468684298176
2006-05-03,1.01432771357033
2006-05-04,1.030230859182677
2006-05-05,1.0547495256620238
2006-05-08,1.055678961550114
2006-05-09,1.0579488884613097
2006-05-10,1.0522905950482282
2006-05-11,1.024575750549829
2006-05-12,0.991599930577364
2006-05-15,0.9874797918536299
2006-05-16,0.9851144254289158
2006-05-17,0.9508874629528972
2006-05-18,0.9469723861561188
2006-05-19,0.9493303505733998
2006-05-22,0.9426648733493859
2006-05-23,0.9446038257917445
2006-05-24,0.9437365656106032
2006-05-25,0.9473598302635375
2006-05-26,0.9487494486417424
2006-05-29,0.9483243311041768
2006-05-30,0.9465696235006353
2006-05-31,0.945644290353693
2006-06-01,0.9446745850060898
2006-06-02,0.9448145481241721
2006-06-05,0.9467879279834538
2006-06-06,0.9484498001756304
2006-06-07,0.9486466207811259
2006-06-08,0.9524437311013485
2006-06-09,0.9512229243745515
2006-06-12,0.9558740416007646
2006-06-13,0.9631814220311334
2006-06-14,0.9607301818084207
2006-06-15,0.947135623826878
2006-06-16,0.9500200120637577
2006-06-19,0.9496688678071408
2006-06-20,0.9469335027361095
2006-06-21,0.9428131917793668
