bundle,span_short,span_long,vol_window,cap,idm,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,80,32,20,1.0,-749.6950349807739,-0.9655907055511795,0.0,0.7974939482306085,100000.0,99250.30496501923
2,10,50,32,20,1.0,675.093032360077,1.0296153548906224,0.0,1.2154830831708943,100000.0,100675.09303236008
3,10,80,32,20,1.0,-386.6089959144592,-0.48806314847943294,0.0,0.8954414901118445,100000.0,99613.39100408554
4,10,50,32,20,1.0,107.55293607711803,0.1500895305257076,0.0,1.0327337009162232,100000.0,100107.55293607712
5,20,64,32,20,1.0,-110.79301953315735,-0.1656662399982285,0.0,0.9654458346152119,100000.0,99889.20698046684
6,20,50,32,20,1.0,107.29308080673215,0.1420947405495016,0.0,1.0308466891411245,100000.0,100107.29308080673
7,20,50,32,20,1.0,-65.53498589992526,-0.08024793175490144,0.0,0.9799280308816326,100000.0,99934.46501410007
8,20,64,32,20,1.0,-891.7838287353516,-1.2920696967645884,0.0,0.7594735067487606,100000.0,99108.21617126465
9,20,80,32,20,1.0,243.75502157211298,0.34764650272599373,0.0,1.077867490493665,100000.0,100243.75502157211
10,20,80,32,20,1.0,-807.1340782642363,-1.123932911407024,0.0,0.7893634824536392,100000.0,99192.86592173576
