bundle,span_short,span_long,vol_window,forecast_scale,cap,tau,idm,multiplier,fx,capital,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,35899.50645446777,0.8601815318390692,0.0,1.1990498954522801,100000.0,135899.50645446777
2,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,28687.344665527344,0.6904983999994164,0.0,1.13962674950746,100000.0,128687.34466552734
3,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,21627.10279464719,0.5530446654955407,0.0,1.111917601972508,100000.0,121627.10279464719
4,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,-3796.595878601085,-0.11158518471018372,0.0,0.9781502606329093,100000.0,96203.4041213989
5,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,4927.854309082027,0.13793515366350895,0.0,1.031921213360053,100000.0,104927.85430908203
6,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,15116.89331054687,0.4497897493531913,0.0,1.1005903179181442,100000.0,115116.89331054688
7,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,7275.546569824218,0.22322981592266442,0.0,1.0486419026078055,100000.0,107275.54656982422
8,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,-2373.957824707034,-0.07771997629154002,0.0,0.9840047976241105,100000.0,97626.04217529297
9,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,-6636.451416015625,-0.2126009862151781,0.0,0.954423263857169,100000.0,93363.54858398438
10,10,50,32,4.1,20,0.2,1.0,5.0,1.0,100000.0,565.758056640625,0.014618090740086269,0.0,1.0032284297248109,100000.0,100565.75805664062
