bundle,span_short,span_long,vol_window,cap,tau,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,16,80,32,20,0.2,1.0,5.0,1.0,43666.8896484375,1.087020155775187,0.0,1.2727427892674257,100000.0,143666.8896484375
2,20,80,32,20,0.2,1.0,5.0,1.0,-6268.24951171875,-0.16178315287566136,0.0,0.9663273514826326,100000.0,93731.75048828125
3,20,80,32,20,0.2,1.0,5.0,1.0,-14403.75,-0.3947759148124967,0.0,0.9221058739794319,100000.0,85596.25
4,16,80,32,20,0.2,1.0,5.0,1.0,144.9462890625,0.0036825622584621895,0.0,1.0008258935446175,100000.0,100144.9462890625
5,10,80,32,20,0.2,1.0,5.0,1.0,-4589.44580078125,-0.1312712613365762,0.0,0.9729331260368556,100000.0,95410.55419921875
6,10,80,32,20,0.2,1.0,5.0,1.0,-8529.5947265625,-0.22164296938752343,0.0,0.950129080178736,100000.0,91470.4052734375
7,10,80,32,20,0.2,1.0,5.0,1.0,-2222.548828125,-0.062483986961226284,0.0,0.9860849652368695,100000.0,97777.451171875
8,10,50,32,20,0.2,1.0,5.0,1.0,32870.48828125,0.8972669357077881,0.0,1.2348553779505602,100000.0,132870.48828125
9,20,80,32,20,0.2,1.0,5.0,1.0,-5807.119140625,-0.15667137921993374,0.0,0.967611002832905,100000.0,94192.880859375
10,20,64,32,20,0.2,1.0,5.0,1.0,-13518.1689453125,-0.332337781809535,0.0,0.9257085448506067,100000.0,86481.8310546875
