bundle,_module,_function,span_short,span_long,vol_window,forecast_scale,cap,weight,tau,capital,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,ewmac,ewmac,16,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,25724.357299804688,0.5357843583768723,0.17895251731287404,1.128365363679306,100000.0,125724.35729980469
2,ewmac,ewmac,20,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,501.50329589843386,0.017093370963420243,0.12234966328897201,1.003327981954972,100000.0,100501.50329589844
3,ewmac,ewmac,20,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,8486.88995361327,0.1875066748665733,0.17947690199669375,1.0386797492683923,100000.0,108486.88995361328
4,ewmac,ewmac,20,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,15817.291259765625,0.3962597785160284,0.2103681137871982,1.0879728805202236,100000.0,115817.29125976562
5,ewmac,ewmac,20,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,21758.7255859375,0.4715256612225076,0.20866623002400922,1.0985106460868819,100000.0,121758.7255859375
6,ewmac,ewmac,16,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,-22331.007080078125,-0.47573489876379793,0.4128354080515939,0.9103904506277203,100000.0,77668.99291992188
7,ewmac,ewmac,16,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,-32625.64697265625,-1.3761980431677066,0.3350372853276476,0.750656906302377,100000.0,67374.35302734375
8,ewmac,ewmac,20,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,75529.97802734375,1.388041513128908,0.20157877648650838,1.3398315259606506,100000.0,175529.97802734375
9,ewmac,ewmac,20,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,-28220.189208984375,-0.6847140817879451,0.35181722712224484,0.8384376666366413,100000.0,71779.81079101562
10,ewmac,ewmac,20,80,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,30218.907470703125,0.6498764894845754,0.22032726805276742,1.1579768926686838,100000.0,130218.90747070312
